관측소명:완도
위도:34.315556
경도:126.759722
관측시간	조위(cm)	수온(℃)	염분(PSU)	유의파고(m)	유의파주기(sec)	최대파고(m)	최대파주기(sec)	풍속(m/s)	풍향(16points)	풍향(deg)	기온(℃)	기압(hPa)	시정(m)	
2021-01-01 00:00:00	269	9.40	32.90	-	-	-	-	2.7	북서	326	1.6	1025.3	-	
2021-01-01 00:01:00	268	9.40	32.90	-	-	-	-	3.3	북서	308	1.8	1025.5	-	
2021-01-01 00:02:00	267	9.40	32.90	-	-	-	-	2.7	북서	311	1.7	1025.3	-	
2021-01-01 00:03:00	267	9.40	32.90	-	-	-	-	4.1	서	272	1.7	1025.3	-	
2021-01-01 00:04:00	267	9.40	32.90	-	-	-	-	3.1	북서	308	1.7	1025.5	-	
2021-01-01 00:05:00	266	9.40	32.90	-	-	-	-	3.0	북서	319	1.7	1025.3	-	
2021-01-01 00:06:00	265	9.40	32.90	-	-	-	-	4.3	북북서	328	1.7	1025.5	-	
2021-01-01 00:07:00	264	9.40	32.90	-	-	-	-	4.1	북서	321	1.7	1025.3	-	
2021-01-01 00:08:00	263	9.40	32.90	-	-	-	-	5.3	북북서	332	1.7	1025.5	-	
2021-01-01 00:09:00	262	9.40	32.90	-	-	-	-	3.8	북서	309	1.6	1025.5	-	
2021-01-01 00:10:00	262	9.40	32.90	-	-	-	-	3.1	북서	312	1.6	1025.5	-	
2021-01-01 00:11:00	260	9.40	32.90	-	-	-	-	3.4	북서	316	1.4	1025.5	-	
2021-01-01 00:12:00	260	9.50	32.80	-	-	-	-	3.8	북서	323	1.4	1025.5	-	
2021-01-01 00:13:00	257	9.50	32.80	-	-	-	-	2.2	서	279	1.5	1025.5	-	
2021-01-01 00:14:00	256	9.50	32.80	-	-	-	-	2.3	서	276	1.5	1025.5	-	
2021-01-01 00:15:00	256	9.50	32.80	-	-	-	-	1.9	서북서	302	1.5	1025.5	-	
2021-01-01 00:16:00	255	9.50	32.80	-	-	-	-	4.1	북서	313	1.4	1025.5	-	
2021-01-01 00:17:00	254	9.50	32.80	-	-	-	-	2.3	서	276	1.4	1025.5	-	
2021-01-01 00:18:00	254	9.50	32.80	-	-	-	-	4.3	서남서	254	1.4	1025.6	-	
2021-01-01 00:19:00	252	9.50	32.80	-	-	-	-	2.9	서북서	293	1.4	1025.6	-	
2021-01-01 00:20:00	252	9.50	32.90	-	-	-	-	2.7	북서	305	1.3	1025.5	-	
2021-01-01 00:21:00	251	9.60	32.80	-	-	-	-	2.7	서북서	282	1.3	1025.6	-	
2021-01-01 00:22:00	251	9.60	32.80	-	-	-	-	4.5	서	271	1.2	1025.6	-	
2021-01-01 00:23:00	250	9.60	32.80	-	-	-	-	4.1	서	276	1.2	1025.6	-	
2021-01-01 00:24:00	249	9.60	32.80	-	-	-	-	3.4	서	279	1.3	1025.6	-	
2021-01-01 00:25:00	249	9.60	32.80	-	-	-	-	2.7	서북서	284	1.3	1025.5	-	
2021-01-01 00:26:00	248	9.60	32.80	-	-	-	-	2.1	서북서	300	1.3	1025.5	-	
2021-01-01 00:27:00	248	9.60	32.80	-	-	-	-	1.7	북서	308	1.3	1025.5	-	
2021-01-01 00:28:00	247	9.60	32.80	-	-	-	-	1.8	서북서	296	1.3	1025.5	-	
2021-01-01 00:29:00	246	9.60	32.80	-	-	-	-	2.1	서북서	292	1.3	1025.5	-	
2021-01-01 00:30:00	246	9.60	32.80	-	-	-	-	2.2	서북서	289	1.4	1025.5	-	
2021-01-01 00:31:00	245	9.60	32.80	-	-	-	-	2.4	서	275	1.2	1025.5	-	
2021-01-01 00:32:00	243	9.60	32.80	-	-	-	-	3.5	서북서	287	1.1	1025.5	-	
2021-01-01 00:33:00	243	9.60	32.80	-	-	-	-	2.8	서북서	290	1.1	1025.5	-	
2021-01-01 00:34:00	243	9.60	32.80	-	-	-	-	1.4	서북서	296	1.1	1025.5	-	
