species,temp_opt_min,temp_opt_max,temp_lethal,unit,source,note
넙치(광어),21,24,28,celsius,국립수산과학원 「넙치 양식기술 매뉴얼」(2024) 18~19·69~70쪽,적정=21~24℃에서 성장 가장 빠름 / 위험=28℃ 이상 폐사율 급증(26℃ 넘으면 섭식 저하)
조피볼락(우럭),12,21,28,celsius,전라남도 「고수온 위기경보 단계별 조치사항」 조피볼락 가두리 관리매뉴얼 5쪽,적정=서식(적)수온 12~21℃ / 위험=한계 수온 28℃ (수과원 매뉴얼 44쪽은 최적 15~18℃만 제시해 한계 수온 없음)
참돔,18,25,28,celsius,국립수산과학원 「돔류 양식기술 매뉴얼」(2020) 24쪽 표 2-2,적정=성장 수온 18~25℃ / 위험=서식 수온 상한 28℃
감성돔,17,25,27,celsius,국립수산과학원 「돔류 양식기술 매뉴얼」(2020) 24쪽 표 2-2,적정=성장 수온 17~25℃ / 위험=서식 수온 상한 27℃
돌돔,22,26,29,celsius,국립수산과학원 「돔류 양식기술 매뉴얼」(2020) 24쪽 표 2-2,적정=성장 수온 22~26℃ / 위험=서식 수온 상한 29℃
강도다리,13,18,27,celsius,국립수산과학원 「강도다리 양식기술 매뉴얼」(2019) 18~19쪽 표 2-1,적정=적정 사육수온 13~18℃ / 위험=최고 한계수온 27℃(성어) - 현장에서는 26℃에서도 폐사
숭어,17,27,28,celsius,국립수산과학원 「숭어 양식기술 매뉴얼」(2019) 23쪽 표 2-2·85쪽,적정=성장 적수온 17~27℃ / 위험=28℃ 이상이면 사료 공급 중단·산소 공급 (서식 가능 1~33℃)
전복(참전복),20,24,25,celsius,국립수산과학원 「전복 양식기술 매뉴얼」 69·75·106쪽,적정=성장 적수온 20~24℃ / 위험=25℃를 넘지 않게 관리 / 해상가두리 25℃ 이상 폐사 누적
멍게(우렁쉥이),10,20,25,celsius,국립수산과학원 「멍게 양식기술 매뉴얼」(2021) 24·84쪽,적정=성장 적정 10~20℃(84쪽) / 위험=25℃ 이상 대사 장애로 폐사 / 26.5℃ 이상 지속 시 호흡 정지 폐사
굴(참굴),20,26,30,celsius,국립수산과학원 「참굴 양식 표준 매뉴얼」(2016) 9쪽,적정=발생·성육 적합 20~26℃(최적 23~25℃) / 위험=최고 30℃ 한계를 벗어나면 발육 정지
