stn,lon,lat,name
155,128.57282,35.17019,창원
156,126.89156,35.17294,광주
159,129.03203,35.10468,부산
162,128.43561,34.84541,통영
165,126.38151,34.81732,목포
168,127.74063,34.73929,여수
170,126.70182,34.3959,완도
172,126.599,35.34824,고창
174,127.3694,35.0204,순천
192,128.04004,35.16378,진주
247,127.39652,35.4213,남원
251,126.69231,35.42346,고창군
252,126.47784,35.28366,영광군
253,128.89075,35.22981,김해시
254,127.1286,35.37131,순창군
255,128.6726,35.22655,북창원
257,129.02009,35.30737,양산시
258,127.21226,34.76335,보성군
259,126.78408,34.64457,강진군
260,126.91951,34.68886,장흥
261,126.56907,34.55375,해남
262,127.27572,34.61826,고흥
263,128.28812,35.32258,의령군
266,127.6914,34.9434,광양시
268,126.25846,34.47296,진도군
288,128.74412,35.49147,밀양
289,127.8791,35.413,산청
294,128.60459,34.88818,거제
295,127.92641,34.81662,남해
296,128.96024,35.21778,북부산
