date,station,code,temperature,n_hours
2018-04-12,부산 다대포(bbdi5),bbdi5,12.45,24
2018-04-13,부산 다대포(bbdi5),bbdi5,11.87,24
2018-04-14,부산 다대포(bbdi5),bbdi5,11.78,24
2018-04-15,부산 다대포(bbdi5),bbdi5,12.0,24
2018-04-16,부산 다대포(bbdi5),bbdi5,11.8,24
2018-04-17,부산 다대포(bbdi5),bbdi5,12.02,23
2018-04-18,부산 다대포(bbdi5),bbdi5,12.52,24
2018-04-19,부산 다대포(bbdi5),bbdi5,12.82,24
2018-04-20,부산 다대포(bbdi5),bbdi5,13.58,23
2018-04-21,부산 다대포(bbdi5),bbdi5,13.63,24
2018-04-22,부산 다대포(bbdi5),bbdi5,13.85,24
2018-04-23,부산 다대포(bbdi5),bbdi5,12.9,23
2018-04-24,부산 다대포(bbdi5),bbdi5,12.97,22
2018-04-25,부산 다대포(bbdi5),bbdi5,13.23,23
2018-04-26,부산 다대포(bbdi5),bbdi5,14.43,21
2018-04-27,부산 다대포(bbdi5),bbdi5,14.02,24
2018-04-28,부산 다대포(bbdi5),bbdi5,13.78,24
2018-04-29,부산 다대포(bbdi5),bbdi5,14.31,24
2018-04-30,부산 다대포(bbdi5),bbdi5,14.83,24
2018-05-01,부산 다대포(bbdi5),bbdi5,14.36,24
2018-05-02,부산 다대포(bbdi5),bbdi5,14.16,24
2018-05-03,부산 다대포(bbdi5),bbdi5,13.85,24
2018-05-04,부산 다대포(bbdi5),bbdi5,13.38,24
2018-05-05,부산 다대포(bbdi5),bbdi5,13.71,24
2018-05-06,부산 다대포(bbdi5),bbdi5,14.31,24
2018-05-07,부산 다대포(bbdi5),bbdi5,13.86,24
2018-05-08,부산 다대포(bbdi5),bbdi5,14.63,24
2018-05-09,부산 다대포(bbdi5),bbdi5,14.77,24
2018-05-10,부산 다대포(bbdi5),bbdi5,16.23,17
2018-05-11,부산 다대포(bbdi5),bbdi5,16.6,24
2018-05-12,부산 다대포(bbdi5),bbdi5,16.73,24
2018-05-13,부산 다대포(bbdi5),bbdi5,16.58,24
2018-05-14,부산 다대포(bbdi5),bbdi5,16.85,24
2018-05-15,부산 다대포(bbdi5),bbdi5,16.69,12
2018-05-18,부산 다대포(bbdi5),bbdi5,15.29,14
2018-05-19,부산 다대포(bbdi5),bbdi5,15.31,24
2018-05-20,부산 다대포(bbdi5),bbdi5,15.32,23
2018-05-21,부산 다대포(bbdi5),bbdi5,15.6,24
2018-05-22,부산 다대포(bbdi5),bbdi5,16.42,24
2018-05-23,부산 다대포(bbdi5),bbdi5,17.15,24
2018-05-24,부산 다대포(bbdi5),bbdi5,18.0,24
2018-05-25,부산 다대포(bbdi5),bbdi5,18.82,24
2018-05-26,부산 다대포(bbdi5),bbdi5,18.76,24
2018-05-27,부산 다대포(bbdi5),bbdi5,18.62,24
2018-05-28,부산 다대포(bbdi5),bbdi5,19.02,23
2018-05-29,부산 다대포(bbdi5),bbdi5,18.41,24
2018-05-30,부산 다대포(bbdi5),bbdi5,18.86,24
2018-05-31,부산 다대포(bbdi5),bbdi5,18.33,24
2018-06-01,부산 다대포(bbdi5),bbdi5,18.46,24
2018-06-02,부산 다대포(bbdi5),bbdi5,18.7,24
2018-06-03,부산 다대포(bbdi5),bbdi5,18.94,24
2018-06-04,부산 다대포(bbdi5),bbdi5,19.23,24
2018-06-05,부산 다대포(bbdi5),bbdi5,19.61,24
2018-06-06,부산 다대포(bbdi5),bbdi5,19.63,24
2018-06-07,부산 다대포(bbdi5),bbdi5,19.97,24
2018-06-08,부산 다대포(bbdi5),bbdi5,20.79,24
2018-06-09,부산 다대포(bbdi5),bbdi5,19.47,24
2018-06-10,부산 다대포(bbdi5),bbdi5,19.16,24
2018-06-11,부산 다대포(bbdi5),bbdi5,19.3,24
2018-06-12,부산 다대포(bbdi5),bbdi5,19.38,24
2018-06-13,부산 다대포(bbdi5),bbdi5,19.28,24
2018-06-14,부산 다대포(bbdi5),bbdi5,19.32,24
2018-06-15,부산 다대포(bbdi5),bbdi5,19.4,24
2018-06-16,부산 다대포(bbdi5),bbdi5,19.57,24
2018-06-17,부산 다대포(bbdi5),bbdi5,19.89,24
2018-06-18,부산 다대포(bbdi5),bbdi5,20.26,24
2018-06-19,부산 다대포(bbdi5),bbdi5,20.74,24
2018-06-20,부산 다대포(bbdi5),bbdi5,20.9,24
2018-06-21,부산 다대포(bbdi5),bbdi5,20.95,24
2018-06-22,부산 다대포(bbdi5),bbdi5,21.4,24
2018-06-23,부산 다대포(bbdi5),bbdi5,21.21,24
2018-06-24,부산 다대포(bbdi5),bbdi5,21.24,24
2018-06-25,부산 다대포(bbdi5),bbdi5,21.32,24
2018-06-26,부산 다대포(bbdi5),bbdi5,20.88,24
2018-06-27,부산 다대포(bbdi5),bbdi5,20.32,24
2018-06-28,부산 다대포(bbdi5),bbdi5,20.47,24
2018-06-29,부산 다대포(bbdi5),bbdi5,20.78,24
2018-06-30,부산 다대포(bbdi5),bbdi5,20.6,24
2018-07-01,부산 다대포(bbdi5),bbdi5,21.18,24
2018-07-02,부산 다대포(bbdi5),bbdi5,22.46,24
2018-07-03,부산 다대포(bbdi5),bbdi5,21.08,24
2018-07-04,부산 다대포(bbdi5),bbdi5,22.98,24
2018-07-05,부산 다대포(bbdi5),bbdi5,22.14,24
2018-07-06,부산 다대포(bbdi5),bbdi5,21.68,24
2018-07-07,부산 다대포(bbdi5),bbdi5,21.3,24
2018-07-08,부산 다대포(bbdi5),bbdi5,21.21,24
2018-07-09,부산 다대포(bbdi5),bbdi5,21.35,24
2018-07-10,부산 다대포(bbdi5),bbdi5,21.88,24
2018-07-11,부산 다대포(bbdi5),bbdi5,22.4,24
2018-07-12,부산 다대포(bbdi5),bbdi5,22.9,23
2018-07-13,부산 다대포(bbdi5),bbdi5,22.97,23
2018-07-14,부산 다대포(bbdi5),bbdi5,22.34,21
2018-07-15,부산 다대포(bbdi5),bbdi5,22.57,24
2018-07-16,부산 다대포(bbdi5),bbdi5,22.24,24
2018-07-17,부산 다대포(bbdi5),bbdi5,22.29,24
2018-07-18,부산 다대포(bbdi5),bbdi5,22.98,24
2018-07-19,부산 다대포(bbdi5),bbdi5,23.88,24
2018-07-20,부산 다대포(bbdi5),bbdi5,24.39,24
2018-07-21,부산 다대포(bbdi5),bbdi5,24.21,24
2018-07-22,부산 다대포(bbdi5),bbdi5,24.74,24
2018-07-23,부산 다대포(bbdi5),bbdi5,24.79,24
2018-07-24,부산 다대포(bbdi5),bbdi5,25.32,24
2018-07-25,부산 다대포(bbdi5),bbdi5,25.31,24
2018-07-26,부산 다대포(bbdi5),bbdi5,25.56,23
2018-07-27,부산 다대포(bbdi5),bbdi5,26.24,24
