code,name,lat,lon,seen,summers,asos,asos_km
fgmk6,강진 마량,34.4439,126.8125,2026-08-01,6,170,11.4
fwmg3,완도 망남,34.3013,126.768,2026-08-01,10,170,12.1
bcji5,추자도,33.9730555555556,126.278333333333,2026-08-01,8,268,55.5
btji5,진해 잠도,35.058,128.6808,2026-08-01,8,155,15.9
fjsm6,진도 신전,34.2678,126.0784,2026-08-01,4,268,28.1
bjli5,진도 불무도,34.3177777777778,126.174166666667,2026-08-01,8,268,18.9
fjmm6,진도 모도,34.3982,126.359,2026-08-01,4,268,12.4
fjdl4,진도 도목,34.4019,126.315,2026-08-01,5,268,9.4
fjgl6,진도 금갑,34.3836,126.2754,2026-08-01,5,268,10.0
fjskb,장흥 사촌,34.5882,127.0272,2026-08-01,5,260,14.9
fjnka,장흥 노력,34.4589,126.9696,2026-08-01,5,170,25.5
fjnk6,장흥 내저,34.4355,126.8628,2026-08-01,6,170,15.4
fwho4,완도 회룡,34.3646,126.7956,2026-08-01,3,170,9.3
wc001,완도 청산,34.1698,126.8547,2026-08-01,14,170,28.7
fwjl6,완도 중도,34.2899,126.7388,2026-08-01,5,170,12.2
fwih6,완도 일정,34.3674,126.9941,2026-08-01,9,170,26.9
fwyl6,완도 예송,34.1434,126.5792,2026-08-01,5,170,30.2
fwyo4,완도 양지,34.3017,126.8598,2026-08-01,3,170,17.8
fwsl6,완도 신흥,34.19,126.9162,2026-08-01,5,170,30.1
fwsm6,완도 송곡,34.3373,126.7763,2026-08-01,4,170,9.4
fwbf1,완도 백도,34.1636,126.6269,2026-08-01,11,170,26.7
fwbl6,완도 방축,34.1681,126.483,2026-08-01,5,170,32.2
fwmk5,완도 미라,34.1517,126.6721,2026-08-01,6,170,27.2
ftgp7,통영 곤리,34.785,128.3719,2026-08-01,1,162,8.9
ftdp7,통영 동좌,34.7974,128.5118,2026-08-01,1,162,8.8
ftp4c,통영 풍화,34.8348,128.3353,2026-08-01,14,162,9.3
fgg4c,거제 가배,34.7851,128.5664,2026-08-01,14,294,12.0
fhhl6,해남 황산,34.5415,126.3752,2026-08-01,5,268,13.1
fhhfc,해남 화산,34.4235,126.4216,2026-08-01,9,268,15.9
fhhk5,해남 학가,34.4042,126.4805,2026-08-01,6,261,18.5
fhyk7,해남 어란,34.35,126.4627,2026-08-01,5,170,22.5
fhsm6,해남 송지,34.316,126.5841,2026-08-01,4,170,14.0
fhsk7,해남 상마,34.4687,126.4034,2026-08-01,6,268,13.3
fhso4,해남 삼정,34.5602,126.3412,2026-08-01,3,268,12.3
fhbl6,해남 북일,34.4394,126.7343,2026-08-01,5,170,5.7
ftrp7,통영 해란,34.8137,128.3688,2026-08-01,1,162,7.1
fthp7,통영 함박,34.841,128.343,2026-08-01,1,162,8.5
bthi5,통영 한산도,34.7056,128.4961,2026-08-01,8,162,16.5
fth59,통영 학림,34.7498,128.4151,2026-08-01,14,162,10.8
btdi5,통영 두미도,34.71,128.1492,2026-08-01,8,295,23.6
ftyp7,통영 욕지,34.6365,128.275,2026-08-01,1,162,27.5
ty004,통영 영운,34.7904,128.4293,2026-08-01,14,162,6.1
btyi5,통영 연화도,34.6733,128.3653,2026-08-01,8,162,20.2
ftsj3,통영 수월,34.8222,128.345,2026-08-01,7,162,8.7
ftsp7,통영 삼덕3,34.793,128.3726,2026-08-01,0,162,8.2
fttp7,통영 삼덕2,34.7901,128.3819,2026-08-01,1,162,7.9
ftup7,통영 삼덕1,34.7848,128.388,2026-08-01,1,162,8.0
ty005,통영 사량,34.8022,128.2463,2026-08-01,14,162,18.0
tb087,통영 비산도,34.8082,128.4951,2026-08-01,15,162,6.8
ftmp7,통영 모상,34.8232,128.3565,2026-08-01,1,162,7.6
fwmo4,완도 모동,34.1977,126.7761,2026-08-01,3,170,23.0
bjji5,진도 조도,34.2872222222222,126.115277777778,2026-08-01,8,268,24.4
fwdf1,완도 동백,34.3275,127.035,2026-08-01,11,170,31.4
fswoa,사천 월등1,34.9700033,128.001078,2026-08-01,1,295,18.3
fsboa,사천 비토1,34.9649547,127.9960686,2026-08-01,1,295,17.7
bbdi5,부산 다대포,35.0224,128.9561,2026-08-01,8,159,11.5
fbhl7,보성 해평,34.72887,127.2221,2026-08-01,4,258,3.9
fbdka,보성 동율,34.6618,127.0993,2026-08-01,4,258,15.3
fncp7,남해 창선,34.8972,128.0403,2026-08-01,1,295,13.7
fnsp7,남해 설천,34.936,127.8608,2026-08-01,1,295,14.5
bnsi5,남해 상주,34.6963888888889,127.9925,2026-08-01,8,295,14.7
fnm5b,남해 미조,34.7255,128.0497,2026-08-01,14,295,15.1
eng5c,남해 강진,34.8746,127.9522,2026-08-01,14,295,6.9
fghk5,고흥 화도,34.502983,127.146095,2026-08-01,6,262,17.4
fgjm6,고흥 지죽,34.4417,127.2962,2026-08-01,4,262,19.7
fgim6,고흥 익금,34.4963,127.396,2026-08-01,4,262,17.4
fgym6,고흥 영남,34.6345,127.4945,2026-08-01,4,262,20.1
fgyo4,고흥 염포,34.4271,127.4896,2026-08-01,3,262,28.9
fgyl4,고흥 연소,34.4365,127.1181,2026-08-01,5,262,24.8
fgsl4,고흥 신촌,34.4738,127.1017,2026-08-01,5,262,22.6
fgsj3,고흥 소록도,34.5049,127.1228,2026-08-01,7,262,18.8
bgui5,고흥 부아도,34.3752777777778,127.178611111111,2026-08-01,8,262,28.4
fgpo4,고흥 발포,34.4402,127.3702,2026-08-01,2,262,21.6
fgdl4,고흥 동촌,34.433,127.2258,2026-08-01,5,262,21.1
fgnm6,고흥 남열,34.5713,127.4656,2026-08-01,4,262,18.1
fggm6,고흥 금산,34.4526,127.097,2026-08-01,4,262,24.6
btei5,거제 해금강,34.7358333333333,128.690833333333,2026-08-01,8,294,18.7
gi086,거제 일운,34.8038,128.7094,2026-08-01,15,294,13.4
fwdo4,완도 덕동,34.3868,126.8637,2026-08-01,3,170,14.8
fggp7,거제 가배2,34.7694,128.5519,2026-08-01,1,162,13.6
fsdoa,사천 비토2,34.9640095,127.9965293,2026-08-01,1,295,17.6
fsxoa,사천 월등2,34.9656331,128.0001761,2026-08-01,1,295,17.9
