code,name,lat,lon,seen
fgmk6,강진 마량,34.4439,126.8125,2026-08-01
fwmg3,완도 망남,34.3013,126.768,2026-08-01
bcji5,추자도,33.9730555555556,126.278333333333,2026-08-01
btji5,진해 잠도,35.058,128.6808,2026-08-01
fjsm6,진도 신전,34.2678,126.0784,2026-08-01
bjli5,진도 불무도,34.3177777777778,126.174166666667,2026-08-01
fjmm6,진도 모도,34.3982,126.359,2026-08-01
fjdl4,진도 도목,34.4019,126.315,2026-08-01
fjgl6,진도 금갑,34.3836,126.2754,2026-08-01
bjhi5,제주 협재,33.4005,126.2091,2026-08-01
bjni5,제주 중문,33.2254,126.3928,2026-08-01
bjui5,제주 우도,33.5222,126.967,2026-08-01
bjyi5,제주 용담,33.5252777777778,126.493888888889,2026-08-01
bjoi5,제주 영락,33.2386111111111,126.194722222222,2026-08-01
bjsi5,제주 신산,33.3777777777778,126.905833333333,2026-08-01
bjii5,제주 김녕,33.5816666666667,126.763611111111,2026-08-01
bjgi5,제주 가파도,33.1626,126.2639,2026-08-01
fjskb,장흥 사촌,34.5882,127.0272,2026-08-01
fjnka,장흥 노력,34.4589,126.9696,2026-08-01
fjnk6,장흥 내저,34.4355,126.8628,2026-08-01
fwho4,완도 회룡,34.3646,126.7956,2026-08-01
wc001,완도 청산,34.1698,126.8547,2026-08-01
fwjl6,완도 중도,34.2899,126.7388,2026-08-01
fwih6,완도 일정,34.3674,126.9941,2026-08-01
fwyl6,완도 예송,34.1434,126.5792,2026-08-01
fwyo4,완도 양지,34.3017,126.8598,2026-08-01
fwsl6,완도 신흥,34.19,126.9162,2026-08-01
fwsm6,완도 송곡,34.3373,126.7763,2026-08-01
fwbf1,완도 백도,34.1636,126.6269,2026-08-01
fwbl6,완도 방축,34.1681,126.483,2026-08-01
fwmk5,완도 미라,34.1517,126.6721,2026-08-01
ftgp7,통영 곤리,34.785,128.3719,2026-08-01
ftaq5,통영 달아,34.7696,128.3951,2026-08-01
ftdp7,통영 동좌,34.7974,128.5118,2026-08-01
ftp4c,통영 풍화,34.8348,128.3353,2026-08-01
fgg4c,거제 가배,34.7851,128.5664,2026-08-01
fhhl6,해남 황산,34.5415,126.3752,2026-08-01
fhhfc,해남 화산,34.4235,126.4216,2026-08-01
fhhk5,해남 학가,34.4042,126.4805,2026-08-01
fhyk7,해남 어란,34.35,126.4627,2026-08-01
fhsm6,해남 송지,34.316,126.5841,2026-08-01
fhsk7,해남 상마,34.4687,126.4034,2026-08-01
fhso4,해남 삼정,34.5602,126.3412,2026-08-01
fhbl6,해남 북일,34.4394,126.7343,2026-08-01
ftrp7,통영 해란,34.8137,128.3688,2026-08-01
fthp7,통영 함박,34.841,128.343,2026-08-01
bthi5,통영 한산도,34.7056,128.4961,2026-08-01
fth59,통영 학림,34.7498,128.4151,2026-08-01
ftlq5,통영 저림3,34.7498,128.4178,2026-08-01
btdi5,통영 두미도,34.71,128.1492,2026-08-01
ftjq5,통영 저림2,34.7512,128.4178,2026-08-01
ftyp7,통영 욕지,34.6365,128.275,2026-08-01
ftoq5,통영 오비,34.8167,128.3614,2026-08-01
ty004,통영 영운,34.7904,128.4293,2026-08-01
btyi5,통영 연화도,34.6733,128.3653,2026-08-01
ftsj3,통영 수월,34.8222,128.345,2026-08-01
ftsq5,통영 삼덕4,34.8026,128.3738,2026-08-01
ftsp7,통영 삼덕3,34.793,128.3726,2026-08-01
fttp7,통영 삼덕2,34.7901,128.3819,2026-08-01
ftup7,통영 삼덕1,34.7848,128.388,2026-08-01
ty005,통영 사량,34.8022,128.2463,2026-08-01
tb087,통영 비산도,34.8082,128.4951,2026-08-01
ftmp7,통영 모상,34.8232,128.3565,2026-08-01
fwmo4,완도 모동,34.1977,126.7761,2026-08-01
bjji5,진도 조도,34.2872222222222,126.115277777778,2026-08-01
fwdf1,완도 동백,34.3275,127.035,2026-08-01
fswoa,사천 월등1,34.9700033,128.001078,2026-08-01
fsboa,사천 비토1,34.9649547,127.9960686,2026-08-01
bbdi5,부산 다대포,35.0224,128.9561,2026-08-01
fbhl7,보성 해평,34.72887,127.2221,2026-08-01
fbdka,보성 동율,34.6618,127.0993,2026-08-01
fncp7,남해 창선,34.8972,128.0403,2026-08-01
fnsp7,남해 설천,34.936,127.8608,2026-08-01
bnsi5,남해 상주,34.6963888888889,127.9925,2026-08-01
fnm5b,남해 미조,34.7255,128.0497,2026-08-01
eng5c,남해 강진,34.8746,127.9522,2026-08-01
fghk5,고흥 화도,34.502983,127.146095,2026-08-01
fgjm6,고흥 지죽,34.4417,127.2962,2026-08-01
fgim6,고흥 익금,34.4963,127.396,2026-08-01
fgym6,고흥 영남,34.6345,127.4945,2026-08-01
fgyo4,고흥 염포,34.4271,127.4896,2026-08-01
fgyl4,고흥 연소,34.4365,127.1181,2026-08-01
fgsl4,고흥 신촌,34.4738,127.1017,2026-08-01
fgsj3,고흥 소록도,34.5049,127.1228,2026-08-01
bgui5,고흥 부아도,34.3752777777778,127.178611111111,2026-08-01
fgpo4,고흥 발포,34.4402,127.3702,2026-08-01
fgdl4,고흥 동촌,34.433,127.2258,2026-08-01
fgnm6,고흥 남열,34.5713,127.4656,2026-08-01
fggm6,고흥 금산,34.4526,127.097,2026-08-01
btei5,거제 해금강,34.7358333333333,128.690833333333,2026-08-01
fgjq5,거제 저구,34.7271,128.5906,2026-08-01
gi086,거제 일운,34.8038,128.7094,2026-08-01
fgbq5,거제 복섬,34.8081,128.5118,2026-08-01
fggq5,거제 가배4,34.7729,128.5514,2026-08-01
fwdo4,완도 덕동,34.3868,126.8637,2026-08-01
fggp7,거제 가배2,34.7694,128.5519,2026-08-01
fsdoa,사천 비토2,34.9640095,127.9965293,2026-08-01
fgkq5,거제 가배3,34.7656,128.5567,2026-08-01
fsxoa,사천 월등2,34.9656331,128.0001761,2026-08-01
fywo4,여수 월호,34.5739,127.7259,2026-08-01
ejj47,서제주,33.3104,126.164,2026-08-01
fwao4,완도 당목,34.3817,126.9485,2026-08-01
wn087,완도 노화도,34.2214,126.5414,2026-08-01
fwnm6,완도 내리,34.1895,126.5248,2026-08-01
wk094,완도 금일,34.3786,127.0654,2026-08-01
fwgk5,완도 군외,34.3906,126.644,2026-08-01
fwgk8,완도 고마,34.409,126.7147,2026-08-01
fwyo5,완도 감목,34.342,127.0101,2026-08-01
fwgm6,완도 가학,34.4402,127.011,2026-08-01
fwgf1,완도 가교,34.4347,126.8083,2026-08-01
fyho5,여수 화태,34.5927,127.7269,2026-08-01
fyhm6,여수 화산,34.5772,127.6897,2026-08-01
fyhl7,여수 항대,34.6476,127.6863,2026-08-01
fyjo4,여수 중앙,34.6722,127.788,2026-08-01
fwio4,완도 당인,34.3156,126.6513,2026-08-01
fyym6,여수 여자,34.7494,127.515,2026-08-01
fycm6,여수 덕촌,34.032,127.3018,2026-08-01
fysk9,여수 신월2,34.719,127.7138,2026-08-01
byki5,여수 금오도,34.5666666666667,127.776666666667,2026-08-01
fybm6,여수 나발,34.5731,127.737,2026-08-01
fynm6,여수 나진,34.7032,127.6254,2026-08-01
fydl4,여수 대율,34.6098,127.7944,2026-08-01
fygl4,여수 군내,34.6179,127.7123,2026-08-01
fydo4,여수 돌산,34.7236,127.7381,2026-08-01
fybo4,여수 백야,34.6248,127.6341,2026-08-01
fysl4,여수 송고,34.5474,127.7236,2026-08-01
km001,여수 신월,34.687,127.708,2026-08-01
fydo9,여수 동두,34.6188,127.6496,2026-08-01
fjil6,장흥 이진목,34.4288,126.9278,2025-08-01
fwso5,완도 사동,34.3373,127.0837,2025-08-01
ftjp7,통영 저림,34.7512,128.4051,2025-08-01
fhom6,해남 옥동,34.5614,126.3548,2025-08-01
fwdk7,완도 동촌,34.3128,126.8696,2025-08-01
fscoa,사천 비토3,34.9641293,127.995612,2025-08-01
fgso4,고흥 시산,34.385,127.2768,2025-08-01
fgsl6,강진 사초,34.4599,126.7691,2025-08-01
fwdo5,완도 대창,34.3825,126.7364,2025-08-01
fhsk5,해남 송호,34.3214,126.508,2024-08-01
fhno4,해남 남성,34.3173,126.6107,2024-08-01
fjhk9,진도 회동,34.3991,126.4035,2024-08-01
