region,station,period,n_days,year,mean_temp,min_temp,max_temp,high_temp_alert_days
남해군,미조,2021년 01월 01일 ~ 2025년 12월 31일,1826,2021,17.5,7.8,28.7,5.0
남해군,미조,2021년 01월 01일 ~ 2025년 12월 31일,1826,2022,17.0,8.2,25.7,0.0
남해군,미조,2021년 01월 01일 ~ 2025년 12월 31일,1826,2023,17.2,7.9,28.5,2.0
남해군,미조,2021년 01월 01일 ~ 2025년 12월 31일,1826,2024,17.7,8.6,29.8,35.0
남해군,미조,2021년 01월 01일 ~ 2025년 12월 31일,1826,2025,16.7,7.5,26.9,0.0
남해군,미조,2021년 01월 01일 ~ 2025년 12월 31일,1826,전체,17.2,7.5,29.8,
여수,신월,2021년 01월 01일 ~ 2025년 12월 31일,1826,2021,17.1,3.4,30.9,19.0
여수,신월,2021년 01월 01일 ~ 2025년 12월 31일,1826,2022,16.4,4.5,28.7,4.0
여수,신월,2021년 01월 01일 ~ 2025년 12월 31일,1826,2023,16.7,4.5,27.9,0.0
여수,신월,2021년 01월 01일 ~ 2025년 12월 31일,1826,2024,17.5,5.5,30.0,37.0
여수,신월,2021년 01월 01일 ~ 2025년 12월 31일,1826,2025,16.3,4.1,29.4,8.0
여수,신월,2021년 01월 01일 ~ 2025년 12월 31일,1826,전체,16.8,3.4,30.9,
완도,군외,2021년 01월 01일 ~ 2025년 12월 31일,1826,2021,17.2,4.1,29.3,12.0
완도,군외,2021년 01월 01일 ~ 2025년 12월 31일,1826,2022,16.2,5.6,27.9,0.0
완도,군외,2021년 01월 01일 ~ 2025년 12월 31일,1826,2023,17.1,4.9,29.0,18.0
완도,군외,2021년 01월 01일 ~ 2025년 12월 31일,1826,2024,17.8,6.0,29.5,35.0
완도,군외,2021년 01월 01일 ~ 2025년 12월 31일,1826,2025,16.8,4.3,29.5,13.0
완도,군외,2021년 01월 01일 ~ 2025년 12월 31일,1826,전체,17.0,4.1,29.5,
통영,학림,2021년 01월 01일 ~ 2025년 12월 31일,1826,2021,17.4,10.6,27.8,0.0
통영,학림,2021년 01월 01일 ~ 2025년 12월 31일,1826,2022,16.7,9.8,25.1,0.0
통영,학림,2021년 01월 01일 ~ 2025년 12월 31일,1826,2023,17.3,10.1,28.0,0.0
통영,학림,2021년 01월 01일 ~ 2025년 12월 31일,1826,2024,17.9,10.6,29.1,16.0
통영,학림,2021년 01월 01일 ~ 2025년 12월 31일,1826,2025,16.8,9.2,28.2,0.0
통영,학림,2021년 01월 01일 ~ 2025년 12월 31일,1826,전체,17.2,9.2,29.1,
