region,obsrvnDt,wtemS,source_file,conflicting_temperature
완도,2022-01-01,6.2,완도 2021~.csv,True
완도,2022-01-01,6.5,완도 2022~.csv,True
완도,2023-01-01,5.8,완도 2022~.csv,True
완도,2023-01-01,6.1,완도 2023~.csv,True
완도,2025-01-01,8.3,완도 2024~.csv,True
완도,2025-01-01,7.9,완도 2025~.csv,True
여수,2022-01-01,6.0,여수 2021~.csv,False
여수,2022-01-01,6.0,여수 2022~.csv,False
여수,2023-01-01,6.3,여수 2022~.csv,True
여수,2023-01-01,6.2,여수 2023~.csv,True
여수,2025-01-01,7.2,여수 2024~.csv,False
여수,2025-01-01,7.2,여수 2025~.csv,False
통영,2022-01-01,11.3,통영 2021~.csv,False
통영,2022-01-01,11.3,통영 2022~.csv,False
통영,2023-01-01,11.9,통영 2022~.csv,False
통영,2023-01-01,11.9,통영 2023~.csv,False
통영,2025-01-01,12.8,통영 2024~.csv,False
통영,2025-01-01,12.8,통영 2025~.csv,False
남해군,2022-01-01,10.9,남해 2021~.csv,True
남해군,2022-01-01,11.0,남해 2022~.csv,True
남해군,2023-01-01,11.1,남해 2022~.csv,False
남해군,2023-01-01,11.1,남해 2023~.csv,False
남해군,2025-01-01,11.5,남해 2024~.csv,True
남해군,2025-01-01,11.3,남해 2025~.csv,True
