region,model,scope,n_scored,n_observed,n_predicted,MAE,RMSE
완도,climatology,common_dates,345,348,365,1.2695,1.5537
완도,climatology,available_dates,348,348,365,1.2601,1.547
완도,naive_seasonal,common_dates,345,348,362,1.7516,2.135
완도,naive_seasonal,available_dates,345,348,362,1.7516,2.135
완도,moving_average,common_dates,345,348,365,9.892,12.1912
완도,moving_average,available_dates,348,348,365,9.9781,12.278
완도,harmonic_regression,common_dates,345,348,365,1.2137,1.4746
완도,harmonic_regression,available_dates,348,348,365,1.2052,1.4684
여수,climatology,common_dates,337,337,365,1.3017,1.5217
여수,climatology,available_dates,337,337,365,1.3017,1.5217
여수,naive_seasonal,common_dates,337,337,365,1.8507,2.2882
여수,naive_seasonal,available_dates,337,337,365,1.8507,2.2882
여수,moving_average,common_dates,337,337,365,9.6666,12.0042
여수,moving_average,available_dates,337,337,365,9.6666,12.0042
여수,harmonic_regression,common_dates,337,337,365,1.1744,1.3966
여수,harmonic_regression,available_dates,337,337,365,1.1744,1.3966
통영,climatology,common_dates,365,365,365,1.5344,1.8014
통영,climatology,available_dates,365,365,365,1.5344,1.8014
통영,naive_seasonal,common_dates,365,365,365,2.0926,2.6501
통영,naive_seasonal,available_dates,365,365,365,2.0926,2.6501
통영,moving_average,common_dates,365,365,365,5.3281,6.5882
통영,moving_average,available_dates,365,365,365,5.3281,6.5882
통영,harmonic_regression,common_dates,365,365,365,1.4819,1.7553
통영,harmonic_regression,available_dates,365,365,365,1.4819,1.7553
남해군,climatology,common_dates,365,365,365,1.4354,1.7436
남해군,climatology,available_dates,365,365,365,1.4354,1.7436
남해군,naive_seasonal,common_dates,365,365,365,1.8186,2.4586
남해군,naive_seasonal,available_dates,365,365,365,1.8186,2.4586
남해군,moving_average,common_dates,365,365,365,6.1465,7.4425
남해군,moving_average,available_dates,365,365,365,6.1465,7.4425
남해군,harmonic_regression,common_dates,365,365,365,1.43,1.7382
남해군,harmonic_regression,available_dates,365,365,365,1.43,1.7382
