region,start,end,days
완도,2021-05-22,2021-05-31,10
완도,2021-09-09,2021-09-23,15
완도,2022-03-30,2022-03-30,1
완도,2022-04-05,2022-04-20,16
완도,2022-04-30,2022-04-30,1
완도,2022-09-03,2022-09-19,17
완도,2024-08-19,2024-08-21,3
완도,2025-04-07,2025-04-23,17
여수,2021-04-18,2021-04-20,3
여수,2022-09-04,2022-09-20,17
여수,2023-08-08,2023-09-06,30
여수,2025-05-09,2025-06-03,26
여수,2025-09-09,2025-09-10,2
통영,2023-07-18,2023-07-18,1
통영,2023-09-25,2023-09-26,2
남해군,2021-08-29,2021-10-05,38
남해군,2021-11-24,2021-11-25,2
남해군,2022-07-09,2022-07-11,3
