region,model,month,n_scored,MAE,RMSE
완도,climatology,1,31,0.5507,0.636
완도,climatology,2,28,1.9965,2.1867
완도,climatology,3,31,1.7307,1.9169
완도,climatology,4,13,1.4025,1.5784
완도,climatology,5,31,1.2038,1.3464
완도,climatology,6,30,0.8266,0.9047
완도,climatology,7,31,1.6279,1.8243
완도,climatology,8,28,1.1346,1.3451
완도,climatology,9,30,2.0516,2.4395
완도,climatology,10,31,1.4285,1.5586
완도,climatology,11,30,0.5569,0.6969
완도,climatology,12,31,0.8464,1.0936
완도,naive_seasonal,1,31,0.9419,1.0641
완도,naive_seasonal,2,28,3.4036,3.6008
완도,naive_seasonal,3,31,1.6097,1.863
완도,naive_seasonal,4,13,2.0231,2.141
완도,naive_seasonal,5,31,1.9419,2.0968
완도,naive_seasonal,6,30,1.0133,1.2391
완도,naive_seasonal,7,31,2.1097,2.2673
완도,naive_seasonal,8,28,2.0857,2.2144
완도,naive_seasonal,9,30,3.1667,3.4957
완도,naive_seasonal,10,31,0.9613,1.2155
완도,naive_seasonal,11,30,1.3333,1.6941
완도,naive_seasonal,12,31,0.7871,0.9791
완도,moving_average,1,31,0.5005,0.6209
완도,moving_average,2,28,1.4765,1.6906
완도,moving_average,3,31,2.1221,2.6929
완도,moving_average,4,13,6.5253,6.8591
완도,moving_average,5,31,10.1198,10.2292
완도,moving_average,6,30,14.2581,14.2989
완도,moving_average,7,31,19.1714,19.2179
완도,moving_average,8,28,19.7929,19.8374
완도,moving_average,9,30,17.5648,17.6154
완도,moving_average,10,31,14.6263,14.766
완도,moving_average,11,30,8.2248,8.4046
완도,moving_average,12,31,2.8456,3.1863
완도,harmonic_regression,1,31,0.5975,0.6721
완도,harmonic_regression,2,28,1.9876,2.2037
완도,harmonic_regression,3,31,1.6403,1.8844
완도,harmonic_regression,4,13,1.365,1.5712
완도,harmonic_regression,5,31,1.2272,1.3388
완도,harmonic_regression,6,30,0.8174,0.8876
완도,harmonic_regression,7,31,1.5024,1.7137
완도,harmonic_regression,8,28,1.479,1.7259
완도,harmonic_regression,9,30,1.6672,1.8816
완도,harmonic_regression,10,31,1.1804,1.3636
완도,harmonic_regression,11,30,0.5024,0.6299
완도,harmonic_regression,12,31,0.7655,0.9607
여수,climatology,1,31,0.7454,0.84
여수,climatology,2,28,1.6542,1.875
여수,climatology,3,31,1.9049,2.0172
여수,climatology,4,30,1.5034,1.6355
여수,climatology,5,8,1.3571,1.3937
여수,climatology,6,27,1.2139,1.2786
여수,climatology,7,31,1.1098,1.2816
여수,climatology,8,31,1.8328,1.9092
여수,climatology,9,28,2.0322,2.1888
여수,climatology,10,31,1.1697,1.3633
여수,climatology,11,30,0.4688,0.5634
여수,climatology,12,31,0.7418,0.9632
여수,naive_seasonal,1,31,1.0194,1.1659
여수,naive_seasonal,2,28,2.5679,2.9195
여수,naive_seasonal,3,31,1.5774,1.7586
여수,naive_seasonal,4,30,1.8233,1.9481
여수,naive_seasonal,5,8,2.125,2.1737
여수,naive_seasonal,6,27,1.4704,1.705
여수,naive_seasonal,7,31,1.6806,1.9631
여수,naive_seasonal,8,31,3.1581,3.4643
여수,naive_seasonal,9,28,4.2143,4.3447
여수,naive_seasonal,10,31,0.7065,0.8837
여수,naive_seasonal,11,30,1.32,1.5578
여수,naive_seasonal,12,31,0.9806,1.1436
여수,moving_average,1,31,0.5502,0.7311
여수,moving_average,2,28,1.6714,1.8059
여수,moving_average,3,31,1.8433,2.2393
여수,moving_average,4,30,6.451,6.6428
여수,moving_average,5,8,8.8393,8.84
여수,moving_average,6,27,14.481,14.4981
여수,moving_average,7,31,18.1724,18.2407
여수,moving_average,8,31,19.3594,19.4315
여수,moving_average,9,28,17.4214,17.4293
여수,moving_average,10,31,15.4143,15.5165
여수,moving_average,11,30,8.6343,8.8384
여수,moving_average,12,31,3.0078,3.3224
여수,harmonic_regression,1,31,0.6867,0.8009
여수,harmonic_regression,2,28,1.6968,1.9674
여수,harmonic_regression,3,31,1.8756,1.9939
여수,harmonic_regression,4,30,1.4519,1.5565
여수,harmonic_regression,5,8,1.6911,1.7203
여수,harmonic_regression,6,27,0.9687,1.0183
여수,harmonic_regression,7,31,0.808,0.9541
여수,harmonic_regression,8,31,1.8372,1.9359
여수,harmonic_regression,9,28,1.5951,1.7393
여수,harmonic_regression,10,31,0.6916,0.8132
여수,harmonic_regression,11,30,0.5048,0.5578
여수,harmonic_regression,12,31,0.7211,0.8531
통영,climatology,1,31,0.5137,0.5651
통영,climatology,2,28,1.1322,1.1954
통영,climatology,3,31,1.9352,1.9505
통영,climatology,4,30,2.2296,2.2433
통영,climatology,5,31,1.779,1.7946
통영,climatology,6,30,1.407,1.4544
통영,climatology,7,31,1.925,2.0483
통영,climatology,8,31,2.8656,3.1516
통영,climatology,9,30,1.9151,2.2966
통영,climatology,10,31,1.1687,1.3962
통영,climatology,11,30,0.5176,0.5871
통영,climatology,12,31,0.9831,1.0673
통영,naive_seasonal,1,31,0.4258,0.469
통영,naive_seasonal,2,28,1.475,1.5394
통영,naive_seasonal,3,31,1.8161,1.8391
통영,naive_seasonal,4,30,2.5,2.5314
통영,naive_seasonal,5,31,2.5484,2.5595
통영,naive_seasonal,6,30,1.8,2.1029
통영,naive_seasonal,7,31,2.8839,3.1916
통영,naive_seasonal,8,31,5.0258,5.2852
통영,naive_seasonal,9,30,4.12,4.4054
통영,naive_seasonal,10,31,0.8774,1.0725
통영,naive_seasonal,11,30,1.1667,1.2474
통영,naive_seasonal,12,31,0.4516,0.6
통영,moving_average,1,31,1.6945,1.9054
통영,moving_average,2,28,3.2429,3.2554
통영,moving_average,3,31,3.0687,3.1095
