config,margin,actual_events,hit,false_alarm,abs_err_sum,recall,precision,F1,day_err
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.0,69,4,3,5.0,0.057971014492753624,0.5714285714285714,0.10526315789473684,1.25
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.25,69,21,6,26.0,0.30434782608695654,0.7777777777777778,0.4375,1.2380952380952381
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.5,69,30,8,42.0,0.43478260869565216,0.7894736842105263,0.5607476635514018,1.4
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,0.75,69,38,15,67.0,0.5507246376811594,0.7169811320754716,0.6229508196721312,1.763157894736842
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,1.0,69,43,26,90.0,0.6231884057971014,0.6231884057971014,0.6231884057971014,2.0930232558139537
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,1.25,69,45,37,92.0,0.6521739130434783,0.5487804878048781,0.5960264900662252,2.0444444444444443
3년(2021~23)|5일패턴:수온+기온+풍속+강수|20℃+,1.5,69,48,52,107.0,0.6956521739130435,0.48,0.5680473372781065,2.2291666666666665
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.0,69,9,6,16.0,0.13043478260869565,0.6,0.21428571428571427,1.7777777777777777
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.25,69,20,7,23.0,0.2898550724637681,0.7407407407407407,0.4166666666666667,1.15
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.5,69,30,11,46.0,0.43478260869565216,0.7317073170731707,0.5454545454545454,1.5333333333333334
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,0.75,69,37,17,68.0,0.5362318840579711,0.6851851851851852,0.6016260162601627,1.837837837837838
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,1.0,69,39,26,74.0,0.5652173913043478,0.6,0.582089552238806,1.8974358974358974
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,1.25,69,43,42,86.0,0.6231884057971014,0.5058823529411764,0.5584415584415584,2.0
3년(2021~23)|5일패턴:수온+기온+풍속+강수|24℃+,1.5,69,48,58,107.0,0.6956521739130435,0.4528301886792453,0.5485714285714286,2.2291666666666665
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.0,69,7,4,10.0,0.10144927536231885,0.6363636363636364,0.175,1.4285714285714286
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.25,69,13,7,20.0,0.18840579710144928,0.65,0.29213483146067415,1.5384615384615385
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.5,69,22,11,35.0,0.3188405797101449,0.6666666666666666,0.43137254901960786,1.5909090909090908
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,0.75,69,29,15,48.0,0.42028985507246375,0.6590909090909091,0.5132743362831859,1.6551724137931034
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.0,69,32,20,58.0,0.463768115942029,0.6153846153846154,0.5289256198347108,1.8125
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.25,69,40,36,83.0,0.5797101449275363,0.5263157894736842,0.5517241379310345,2.075
3년(2021~23)|5일패턴:수온+기온+풍속+강수|26℃+,1.5,69,44,50,96.0,0.6376811594202898,0.46808510638297873,0.5398773006134969,2.1818181818181817
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.0,69,4,3,6.0,0.057971014492753624,0.5714285714285714,0.10526315789473684,1.5
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.25,69,20,5,25.0,0.2898550724637681,0.8,0.425531914893617,1.25
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.5,69,29,8,39.0,0.42028985507246375,0.7837837837837838,0.5471698113207547,1.3448275862068966
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,0.75,69,37,15,63.0,0.5362318840579711,0.7115384615384616,0.6115702479338843,1.7027027027027026
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,1.0,69,41,25,83.0,0.5942028985507246,0.6212121212121212,0.6074074074074074,2.024390243902439
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,1.25,69,45,39,94.0,0.6521739130434783,0.5357142857142857,0.5882352941176471,2.088888888888889
3년(2021~23)|5일패턴:수온+기온+풍속+강수|여름전체,1.5,69,48,54,107.0,0.6956521739130435,0.47058823529411764,0.5614035087719298,2.2291666666666665
3년(2021~23)|기존+기간평균패턴|20℃+,0.0,69,19,6,37.0,0.2753623188405797,0.76,0.40425531914893614,1.9473684210526316
3년(2021~23)|기존+기간평균패턴|20℃+,0.25,69,34,10,37.0,0.4927536231884058,0.7727272727272727,0.6017699115044248,1.088235294117647
3년(2021~23)|기존+기간평균패턴|20℃+,0.5,69,40,17,56.0,0.5797101449275363,0.7017543859649122,0.6349206349206349,1.4
3년(2021~23)|기존+기간평균패턴|20℃+,0.75,69,47,22,89.0,0.6811594202898551,0.6811594202898551,0.6811594202898551,1.8936170212765957
3년(2021~23)|기존+기간평균패턴|20℃+,1.0,69,49,32,96.0,0.7101449275362319,0.6049382716049383,0.6533333333333333,1.9591836734693877
3년(2021~23)|기존+기간평균패턴|20℃+,1.25,69,52,47,115.0,0.7536231884057971,0.5252525252525253,0.6190476190476191,2.2115384615384617
3년(2021~23)|기존+기간평균패턴|20℃+,1.5,69,52,59,114.0,0.7536231884057971,0.46846846846846846,0.5777777777777777,2.1923076923076925
3년(2021~23)|기존+기간평균패턴|24℃+,0.0,69,13,14,18.0,0.18840579710144928,0.48148148148148145,0.2708333333333333,1.3846153846153846
3년(2021~23)|기존+기간평균패턴|24℃+,0.25,69,28,16,48.0,0.4057971014492754,0.6363636363636364,0.49557522123893805,1.7142857142857142
3년(2021~23)|기존+기간평균패턴|24℃+,0.5,69,34,25,53.0,0.4927536231884058,0.576271186440678,0.53125,1.5588235294117647
3년(2021~23)|기존+기간평균패턴|24℃+,0.75,69,42,33,83.0,0.6086956521739131,0.56,0.5833333333333334,1.9761904761904763
3년(2021~23)|기존+기간평균패턴|24℃+,1.0,69,46,40,91.0,0.6666666666666666,0.5348837209302325,0.5935483870967742,1.9782608695652173
3년(2021~23)|기존+기간평균패턴|24℃+,1.25,69,50,51,104.0,0.7246376811594203,0.49504950495049505,0.5882352941176471,2.08
3년(2021~23)|기존+기간평균패턴|24℃+,1.5,69,54,70,113.0,0.782608695652174,0.43548387096774194,0.5595854922279793,2.0925925925925926
3년(2021~23)|기존+기간평균패턴|26℃+,0.0,69,11,24,27.0,0.15942028985507245,0.3142857142857143,0.21153846153846154,2.4545454545454546
3년(2021~23)|기존+기간평균패턴|26℃+,0.25,69,14,25,32.0,0.2028985507246377,0.358974358974359,0.25925925925925924,2.2857142857142856
3년(2021~23)|기존+기간평균패턴|26℃+,0.5,69,16,26,31.0,0.2318840579710145,0.38095238095238093,0.2882882882882883,1.9375
3년(2021~23)|기존+기간평균패턴|26℃+,0.75,69,22,30,42.0,0.3188405797101449,0.4230769230769231,0.36363636363636365,1.9090909090909092
3년(2021~23)|기존+기간평균패턴|26℃+,1.0,69,25,32,48.0,0.36231884057971014,0.43859649122807015,0.3968253968253968,1.92
3년(2021~23)|기존+기간평균패턴|26℃+,1.25,69,29,39,57.0,0.42028985507246375,0.4264705882352941,0.4233576642335766,1.9655172413793103
3년(2021~23)|기존+기간평균패턴|26℃+,1.5,69,35,44,78.0,0.5072463768115942,0.4430379746835443,0.47297297297297297,2.2285714285714286
3년(2021~23)|기존+기간평균패턴|여름전체,0.0,69,17,4,33.0,0.2463768115942029,0.8095238095238095,0.37777777777777777,1.9411764705882353
3년(2021~23)|기존+기간평균패턴|여름전체,0.25,69,29,8,36.0,0.42028985507246375,0.7837837837837838,0.5471698113207547,1.2413793103448276
3년(2021~23)|기존+기간평균패턴|여름전체,0.5,69,37,16,54.0,0.5362318840579711,0.6981132075471698,0.6065573770491803,1.4594594594594594
3년(2021~23)|기존+기간평균패턴|여름전체,0.75,69,43,23,83.0,0.6231884057971014,0.6515151515151515,0.6370370370370371,1.930232558139535
3년(2021~23)|기존+기간평균패턴|여름전체,1.0,69,47,33,92.0,0.6811594202898551,0.5875,0.6308724832214765,1.9574468085106382
3년(2021~23)|기존+기간평균패턴|여름전체,1.25,69,52,46,116.0,0.7536231884057971,0.5306122448979592,0.6227544910179641,2.230769230769231
3년(2021~23)|기존+기간평균패턴|여름전체,1.5,69,52,59,115.0,0.7536231884057971,0.46846846846846846,0.5777777777777777,2.2115384615384617
3년(2021~23)|기존모델|20℃+,0.0,69,12,2,31.0,0.17391304347826086,0.8571428571428571,0.2891566265060241,2.5833333333333335
3년(2021~23)|기존모델|20℃+,0.25,69,23,11,18.0,0.3333333333333333,0.6764705882352942,0.44660194174757284,0.782608695652174
3년(2021~23)|기존모델|20℃+,0.5,69,34,19,58.0,0.4927536231884058,0.6415094339622641,0.5573770491803278,1.7058823529411764
3년(2021~23)|기존모델|20℃+,0.75,69,38,25,72.0,0.5507246376811594,0.6031746031746031,0.5757575757575758,1.894736842105263
3년(2021~23)|기존모델|20℃+,1.0,69,45,43,90.0,0.6521739130434783,0.5113636363636364,0.5732484076433121,2.0
3년(2021~23)|기존모델|20℃+,1.25,69,46,56,100.0,0.6666666666666666,0.45098039215686275,0.5380116959064327,2.1739130434782608
3년(2021~23)|기존모델|20℃+,1.5,69,48,69,108.0,0.6956521739130435,0.41025641025641024,0.5161290322580645,2.25
3년(2021~23)|기존모델|24℃+,0.0,69,7,7,18.0,0.10144927536231885,0.5,0.1686746987951807,2.5714285714285716
3년(2021~23)|기존모델|24℃+,0.25,69,22,10,23.0,0.3188405797101449,0.6875,0.43564356435643564,1.0454545454545454
3년(2021~23)|기존모델|24℃+,0.5,69,32,20,47.0,0.463768115942029,0.6153846153846154,0.5289256198347108,1.46875
3년(2021~23)|기존모델|24℃+,0.75,69,40,26,71.0,0.5797101449275363,0.6060606060606061,0.5925925925925926,1.775
3년(2021~23)|기존모델|24℃+,1.0,69,45,43,93.0,0.6521739130434783,0.5113636363636364,0.5732484076433121,2.066666666666667
3년(2021~23)|기존모델|24℃+,1.25,69,46,57,96.0,0.6666666666666666,0.44660194174757284,0.5348837209302325,2.0869565217391304
