region,config,n_issue_days,actual_events,hit,miss,false_alarm,mean_abs_day_error,mean_signed_day_error,within_1day_rate
완도,수온만|스냅샷,184,20,0,20,0,,,
완도,수온만|패턴,184,20,0,20,0,,,
완도,기온|스냅샷,184,20,0,20,0,,,
완도,기온|패턴,184,20,0,20,0,,,
완도,기온+풍속|스냅샷,184,20,0,20,0,,,
완도,기온+풍속|패턴,184,20,1,19,0,2.0,-2.0,0.0
완도,기온+풍속+강수|스냅샷,184,20,0,20,0,,,
완도,기온+풍속+강수|패턴,184,20,1,19,0,0.0,0.0,1.0
여수,수온만|스냅샷,162,14,0,14,0,,,
여수,수온만|패턴,162,14,0,14,0,,,
여수,기온|스냅샷,162,14,0,14,0,,,
여수,기온|패턴,162,14,0,14,0,,,
여수,기온+풍속|스냅샷,162,14,0,14,0,,,
여수,기온+풍속|패턴,162,14,1,13,0,4.0,4.0,0.0
여수,기온+풍속+강수|스냅샷,162,14,0,14,0,,,
여수,기온+풍속+강수|패턴,162,14,2,12,0,3.0,3.0,0.0
통영,수온만|스냅샷,205,26,1,25,0,2.0,2.0,0.0
통영,수온만|패턴,205,26,1,25,0,0.0,0.0,1.0
통영,기온|스냅샷,205,26,1,25,0,2.0,2.0,0.0
통영,기온|패턴,205,26,1,25,0,0.0,0.0,1.0
통영,기온+풍속|스냅샷,205,26,1,25,0,2.0,2.0,0.0
통영,기온+풍속|패턴,205,26,1,25,0,0.0,0.0,1.0
통영,기온+풍속+강수|스냅샷,205,26,1,25,0,2.0,2.0,0.0
통영,기온+풍속+강수|패턴,205,26,2,24,0,0.5,0.5,1.0
남해군,수온만|스냅샷,197,8,0,8,0,,,
남해군,수온만|패턴,197,8,0,8,0,,,
남해군,기온|스냅샷,197,8,0,8,0,,,
남해군,기온|패턴,197,8,0,8,0,,,
남해군,기온+풍속|스냅샷,197,8,0,8,0,,,
남해군,기온+풍속|패턴,197,8,0,8,0,,,
남해군,기온+풍속+강수|스냅샷,197,8,0,8,0,,,
남해군,기온+풍속+강수|패턴,197,8,0,8,0,,,
