region,h,config,n,rmse,rmse_25plus
완도,1,지속성(오늘값 유지),233,0.3594822218290618,0.3693623849670829
완도,1,수온만|스냅샷,233,0.32630361126624174,0.34640569542871436
완도,1,수온만|패턴,233,0.32708160457642343,0.3520542077634239
완도,1,기온|스냅샷,233,0.3141095717362349,0.33202447802846247
완도,1,기온|패턴,233,0.31397396464238386,0.33817941189846235
완도,1,기온+풍속|스냅샷,233,0.31313289000492645,0.33800656846496396
완도,1,기온+풍속|패턴,233,0.312916819990188,0.33940170920825097
완도,1,기온+풍속+강수|스냅샷,233,0.315639567777276,0.34120040291271214
완도,1,기온+풍속+강수|패턴,233,0.32166359079903956,0.35132011664915036
완도,2,지속성(오늘값 유지),232,0.6079218416188396,0.6223182465587846
완도,2,수온만|스냅샷,232,0.5409617234980597,0.5534735074806006
완도,2,수온만|패턴,232,0.5354198443024782,0.551926878471985
완도,2,기온|스냅샷,232,0.5299023778536268,0.5265852258580132
완도,2,기온|패턴,232,0.5299572657604118,0.5498726924710897
완도,2,기온+풍속|스냅샷,232,0.5335290924439664,0.5511757534093422
완도,2,기온+풍속|패턴,232,0.5383941330389572,0.5570614574053498
완도,2,기온+풍속+강수|스냅샷,232,0.5372413541923201,0.5564672009927661
완도,2,기온+풍속+강수|패턴,232,0.5609441015105269,0.5902887389771677
완도,3,지속성(오늘값 유지),231,0.8207007880767409,0.8592006788007172
완도,3,수온만|스냅샷,231,0.713662772670966,0.7498670519314852
완도,3,수온만|패턴,231,0.7095409134427073,0.7443751224076742
완도,3,기온|스냅샷,231,0.7102269853810906,0.7397664811290844
완도,3,기온|패턴,231,0.7228778141288084,0.7827346021793593
완도,3,기온+풍속|스냅샷,231,0.7243272257792374,0.7797189156511432
완도,3,기온+풍속|패턴,231,0.7345388104303175,0.7850515209016554
완도,3,기온+풍속+강수|스냅샷,231,0.7243913201717345,0.7798041451455662
완도,3,기온+풍속+강수|패턴,231,0.7712754326387663,0.8497323854128827
완도,4,지속성(오늘값 유지),231,1.0113854027523004,1.070724807269929
완도,4,수온만|스냅샷,231,0.8615833892754007,0.9235147047474573
완도,4,수온만|패턴,231,0.8550799073811295,0.9177860227718561
완도,4,기온|스냅샷,231,0.8701930902859394,0.9436611841676117
완도,4,기온|패턴,231,0.8935701137360259,1.0038749547441668
완도,4,기온+풍속|스냅샷,231,0.8828679299130315,0.972987313731239
완도,4,기온+풍속|패턴,231,0.8953524157117125,0.9834801069870193
완도,4,기온+풍속+강수|스냅샷,231,0.8808456472331329,0.9707376863351731
완도,4,기온+풍속+강수|패턴,231,0.9412948679749774,1.0674003670774042
완도,5,지속성(오늘값 유지),231,1.1850256175651708,1.2664402740524072
완도,5,수온만|스냅샷,231,0.9945274699548876,1.0709306071081715
완도,5,수온만|패턴,231,0.98409334313468,1.0618161299651165
완도,5,기온|스냅샷,231,1.0082800465744195,1.107837840228131
완도,5,기온|패턴,231,1.0330238662934281,1.1731465932485885
완도,5,기온+풍속|스냅샷,231,1.0143119855921827,1.1242453883547552
완도,5,기온+풍속|패턴,231,1.0218221617135217,1.1265262730123096
