scenario,config,margin,region,actual_events,hit,false_alarm,abs_err_sum,signed_err_sum
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.0,남해군,8,0,0,0.0,0.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.5,남해군,8,1,2,0.0,0.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),1.0,남해군,8,2,4,2.0,2.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.0,여수,14,2,0,6.0,6.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.5,여수,14,4,1,4.0,-2.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),1.0,여수,14,7,4,11.0,-9.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.0,완도,20,10,6,21.0,9.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.5,완도,20,17,18,35.0,-21.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),1.0,완도,20,19,30,46.0,-46.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.0,통영,26,1,0,1.0,1.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.5,통영,26,11,1,16.0,-6.0
예보없음,수과원만|기존+기간평균패턴|고수온(위험-8℃+),1.0,통영,26,14,5,26.0,-26.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.0,남해군,8,0,0,0.0,0.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.5,남해군,8,1,2,0.0,0.0
예보없음,수과원만|기존+기간평균패턴|여름전체,1.0,남해군,8,2,5,3.0,3.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.0,여수,14,1,0,4.0,4.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.5,여수,14,5,1,7.0,1.0
예보없음,수과원만|기존+기간평균패턴|여름전체,1.0,여수,14,7,2,12.0,-8.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.0,완도,20,9,7,18.0,8.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.5,완도,20,17,17,34.0,-22.0
예보없음,수과원만|기존+기간평균패턴|여름전체,1.0,완도,20,19,28,47.0,-47.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.0,통영,26,0,0,0.0,0.0
예보없음,수과원만|기존+기간평균패턴|여름전체,0.5,통영,26,8,1,11.0,-11.0
예보없음,수과원만|기존+기간평균패턴|여름전체,1.0,통영,26,14,5,26.0,-26.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.0,남해군,8,0,0,0.0,0.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.5,남해군,8,1,1,0.0,0.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),1.0,남해군,8,2,3,4.0,4.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.0,여수,14,2,0,10.0,10.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.5,여수,14,7,2,11.0,3.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),1.0,여수,14,9,8,18.0,-16.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.0,완도,20,10,9,16.0,10.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.5,완도,20,18,24,36.0,-22.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),1.0,완도,20,19,34,47.0,-47.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.0,통영,26,1,1,1.0,1.0
예보없음,수과원만|기존모델|고수온(위험-8℃+),0.5,통영,26,8,3,9.0,-7.0
