,recall,recall,recall,precision,precision,precision,day_err,day_err,day_err
margin,0.0,0.5,1.0,0.0,0.5,1.0,0.0,0.5,1.0
config,,,,,,,,,
수과원만|기존모델|여름전체,0.14705882352941177,0.47058823529411764,0.6470588235294118,0.5263157894736842,0.5333333333333333,0.4489795918367347,2.0,1.5625,2.2045454545454546
수과원만|기존모델|고수온(위험-8℃+),0.19117647058823528,0.5,0.6470588235294118,0.5652173913043478,0.53125,0.4489795918367347,2.076923076923077,1.6470588235294117,2.159090909090909
수과원만|기존+기간평균패턴|여름전체,0.14705882352941177,0.45588235294117646,0.6176470588235294,0.5882352941176471,0.5961538461538461,0.5121951219512195,2.2,1.6774193548387097,2.0952380952380953
수과원만|기존+기간평균패턴|고수온(위험-8℃+),0.19117647058823528,0.4852941176470588,0.6176470588235294,0.6842105263157895,0.6,0.49411764705882355,2.1538461538461537,1.6666666666666667,2.0238095238095237
통합|기존모델|여름전체,0.0,0.23529411764705882,0.4852941176470588,,0.7272727272727273,0.5689655172413793,,1.625,1.7272727272727273
통합|기존모델|고수온(위험-8℃+),0.014705882352941176,0.27941176470588236,0.5294117647058824,1.0,0.76,0.5806451612903226,1.0,1.4736842105263157,1.8888888888888888
통합|기존+기간평균패턴|여름전체,0.014705882352941176,0.25,0.5441176470588235,0.3333333333333333,0.7391304347826086,0.6379310344827587,4.0,1.4705882352941178,1.8918918918918919
통합|기존+기간평균패턴|고수온(위험-8℃+),0.029411764705882353,0.29411764705882354,0.5588235294117647,0.5,0.7692307692307693,0.6031746031746031,3.0,1.45,1.894736842105263
통합+가중치|기존모델|여름전체,0.014705882352941176,0.29411764705882354,0.5588235294117647,1.0,0.8,0.5757575757575758,1.0,1.45,1.868421052631579
통합+가중치|기존모델|고수온(위험-8℃+),0.014705882352941176,0.3088235294117647,0.5588235294117647,1.0,0.75,0.5757575757575758,2.0,1.4285714285714286,1.868421052631579
통합+가중치|기존+기간평균패턴|여름전체,0.014705882352941176,0.3235294117647059,0.5735294117647058,1.0,0.7857142857142857,0.6190476190476191,4.0,1.4545454545454546,1.8974358974358974
통합+가중치|기존+기간평균패턴|고수온(위험-8℃+),0.04411764705882353,0.3382352941176471,0.5735294117647058,1.0,0.7419354838709677,0.609375,2.0,1.4782608695652173,1.9230769230769231
