scenario,config,margin,region,actual_events,hit,false_alarm,abs_err_sum,signed_err_sum
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.0,남해군,8,0,0,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.5,남해군,8,1,0,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,1.0,남해군,8,2,4,2.0,2.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.0,여수,14,1,0,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.5,여수,14,7,1,9.0,-5.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,1.0,여수,14,8,1,16.0,-12.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.0,완도,20,0,1,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.5,완도,20,11,3,21.0,-21.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,1.0,완도,20,16,15,38.0,-38.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.0,통영,26,3,1,3.0,3.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,0.5,통영,26,9,1,11.0,-5.0
예보없음,5일패턴:수온+기온+풍속+강수|20℃+,1.0,통영,26,14,3,22.0,-20.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.0,남해군,8,0,1,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.5,남해군,8,1,2,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,1.0,남해군,8,2,7,1.0,1.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.0,여수,14,2,1,4.0,4.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.5,여수,14,6,1,11.0,-1.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,1.0,여수,14,8,2,14.0,-12.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.0,완도,20,2,1,2.0,-2.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.5,완도,20,12,3,23.0,-23.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,1.0,완도,20,13,11,31.0,-31.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.0,통영,26,2,2,2.0,2.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,0.5,통영,26,7,3,4.0,-4.0
예보없음,5일패턴:수온+기온+풍속+강수|24℃+,1.0,통영,26,14,3,26.0,-26.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.0,남해군,8,1,0,3.0,3.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.5,남해군,8,2,2,2.0,2.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,1.0,남해군,8,2,5,1.0,1.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.0,여수,14,2,3,4.0,4.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.5,여수,14,6,4,6.0,-6.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,1.0,여수,14,9,4,17.0,-17.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.0,완도,20,1,4,2.0,-2.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.5,완도,20,11,5,24.0,-24.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,1.0,완도,20,13,11,31.0,-31.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.0,통영,26,1,1,1.0,1.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,0.5,통영,26,2,1,1.0,1.0
예보없음,5일패턴:수온+기온+풍속+강수|26℃+,1.0,통영,26,6,3,7.0,-7.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,0.0,남해군,8,0,0,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,0.5,남해군,8,1,0,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,1.0,남해군,8,2,4,6.0,6.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,0.0,여수,14,1,0,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,0.5,여수,14,7,1,9.0,-5.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,1.0,여수,14,8,1,16.0,-12.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,0.0,완도,20,0,1,0.0,0.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,0.5,완도,20,11,3,21.0,-21.0
예보없음,5일패턴:수온+기온+풍속+강수|여름전체,1.0,완도,20,16,15,37.0,-37.0
