지역,기준위도,기준경도,ROMS위도,ROMS경도,거리_km,예측일시,예측수온_C,유향_deg,유속_m_s
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 00:00:00,26.17,136.4,0.04
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 01:00:00,26.16,115.67,0.12
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 02:00:00,26.16,116.72,0.19
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 03:00:00,26.15,116.97,0.21
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 04:00:00,26.15,121.17,0.19
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 05:00:00,26.14,137.45,0.11
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 06:00:00,26.12,224.7,0.06
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 07:00:00,26.1,271.0,0.19
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 08:00:00,26.08,278.79,0.3
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 09:00:00,26.07,279.01,0.36
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 10:00:00,26.05,278.21,0.36
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 11:00:00,26.04,276.13,0.32
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 12:00:00,26.04,272.21,0.25
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 13:00:00,26.05,265.37,0.16
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 14:00:00,26.05,230.59,0.06
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 15:00:00,26.06,134.64,0.07
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 16:00:00,26.08,120.15,0.12
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 17:00:00,26.09,117.71,0.11
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 18:00:00,26.1,119.6,0.05
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 19:00:00,26.09,272.52,0.04
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 20:00:00,26.06,284.76,0.12
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 21:00:00,26.03,281.49,0.15
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 22:00:00,26.0,275.05,0.14
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-17 23:00:00,25.98,256.77,0.09
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-18 00:00:00,25.97,203.07,0.06
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-18 01:00:00,25.96,153.54,0.08
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-18 02:00:00,25.96,137.05,0.11
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-18 03:00:00,25.96,132.15,0.14
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-18 04:00:00,25.96,133.51,0.14
남해,34.71,128.05,34.66433,127.96516,9.272,2026-09-18 05:00:00,25.96,144.89,0.12
