지역,기준위도,기준경도,ROMS위도,ROMS경도,거리_km,예측일시,예측수온_C,유향_deg,유속_m_s
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 00:00:00,24.81,165.52,0.33
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 01:00:00,24.81,164.57,0.38
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 02:00:00,24.82,163.44,0.44
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 03:00:00,24.84,161.94,0.42
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 04:00:00,24.86,161.28,0.36
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 05:00:00,24.89,161.94,0.27
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 06:00:00,24.91,166.75,0.14
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 07:00:00,24.91,184.28,0.06
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 08:00:00,24.9,304.94,0.03
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 09:00:00,24.89,304.52,0.05
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 10:00:00,24.88,277.77,0.07
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 11:00:00,24.87,237.53,0.1
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 12:00:00,24.89,208.02,0.16
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 13:00:00,24.89,195.53,0.22
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 14:00:00,24.88,186.81,0.28
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 15:00:00,24.84,181.73,0.28
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 16:00:00,24.78,174.29,0.26
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 17:00:00,24.73,167.66,0.22
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 18:00:00,24.7,162.58,0.13
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 19:00:00,24.7,157.83,0.08
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 20:00:00,24.71,144.1,0.01
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 21:00:00,24.71,178.75,0.02
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 22:00:00,24.71,173.49,0.07
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-17 23:00:00,24.72,169.81,0.13
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 00:00:00,24.73,166.41,0.19
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 01:00:00,24.75,165.93,0.25
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 02:00:00,24.78,166.54,0.28
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 03:00:00,24.81,166.95,0.29
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 04:00:00,24.84,167.91,0.26
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 05:00:00,24.86,171.3,0.21
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 06:00:00,24.86,182.0,0.13
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 07:00:00,24.85,211.47,0.06
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 08:00:00,24.83,297.79,0.06
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 09:00:00,24.81,311.62,0.09
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 10:00:00,24.79,306.25,0.1
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 11:00:00,24.75,288.77,0.09
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 12:00:00,24.72,239.81,0.09
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 13:00:00,24.72,210.04,0.13
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 14:00:00,24.73,192.91,0.19
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 15:00:00,24.76,186.22,0.25
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 16:00:00,24.78,182.46,0.26
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 17:00:00,24.78,177.78,0.24
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 18:00:00,24.77,176.01,0.2
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 19:00:00,24.77,175.85,0.14
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 20:00:00,24.76,178.54,0.1
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 21:00:00,24.75,182.44,0.08
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 22:00:00,24.74,177.88,0.11
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-18 23:00:00,24.74,175.56,0.14
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 00:00:00,24.74,172.59,0.18
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 01:00:00,24.74,170.82,0.22
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 02:00:00,24.74,170.41,0.24
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 03:00:00,24.75,170.4,0.26
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 04:00:00,24.76,171.64,0.25
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 05:00:00,24.76,175.04,0.23
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 06:00:00,24.76,181.02,0.19
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 07:00:00,24.74,191.85,0.14
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 08:00:00,24.74,213.21,0.09
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 09:00:00,24.75,246.37,0.08
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 10:00:00,24.78,259.82,0.09
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 11:00:00,24.81,260.97,0.1
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 12:00:00,24.87,248.16,0.12
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 13:00:00,24.89,236.3,0.13
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 14:00:00,24.93,219.38,0.16
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 15:00:00,24.98,205.71,0.2
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 16:00:00,25.0,197.22,0.22
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 17:00:00,24.99,188.26,0.23
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 18:00:00,24.96,179.47,0.23
통영,34.83,128.43,34.75063,128.38073,9.906,2026-09-19 19:00:00,24.91,174.71,0.24
