지역,기준위도,기준경도,ROMS위도,ROMS경도,거리_km,예측일시,예측수온_C,유향_deg,유속_m_s
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 00:00:00,25.82,195.44,0.37
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 01:00:00,25.81,192.08,0.47
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 02:00:00,25.79,189.66,0.49
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 03:00:00,25.76,187.16,0.43
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 04:00:00,25.73,184.4,0.27
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 05:00:00,25.7,173.21,0.13
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 06:00:00,25.67,90.4,0.03
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 07:00:00,25.63,14.48,0.05
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 08:00:00,25.6,342.26,0.07
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 09:00:00,25.57,317.17,0.09
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 10:00:00,25.58,238.79,0.12
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 11:00:00,25.6,217.1,0.21
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 12:00:00,25.64,206.23,0.35
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 13:00:00,25.68,197.68,0.45
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 14:00:00,25.73,194.27,0.5
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 15:00:00,25.77,192.82,0.46
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 16:00:00,25.79,192.06,0.35
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 17:00:00,25.8,190.06,0.24
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 18:00:00,25.79,213.04,0.02
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 19:00:00,25.78,0.65,0.09
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 20:00:00,25.75,355.72,0.09
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 21:00:00,25.71,340.29,0.09
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 22:00:00,25.66,260.63,0.06
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-17 23:00:00,25.63,217.85,0.13
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 00:00:00,25.6,201.39,0.26
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 01:00:00,25.58,195.56,0.38
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 02:00:00,25.56,193.95,0.39
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 03:00:00,25.54,190.19,0.42
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 04:00:00,25.52,188.79,0.33
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 05:00:00,25.5,187.99,0.19
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 06:00:00,25.48,186.56,0.07
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 07:00:00,25.46,342.04,0.01
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 08:00:00,25.43,321.8,0.03
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 09:00:00,25.42,288.27,0.06
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 10:00:00,25.42,244.54,0.1
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 11:00:00,25.46,223.77,0.21
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 12:00:00,25.52,214.78,0.32
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 13:00:00,25.57,209.66,0.41
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 14:00:00,25.62,207.13,0.48
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 15:00:00,25.65,203.96,0.5
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 16:00:00,25.66,200.7,0.43
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 17:00:00,25.65,196.41,0.33
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 18:00:00,25.65,198.34,0.21
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 19:00:00,25.64,219.84,0.07
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 20:00:00,25.62,298.74,0.03
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 21:00:00,25.61,329.26,0.05
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 22:00:00,25.59,278.55,0.04
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-18 23:00:00,25.56,231.78,0.08
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 00:00:00,25.54,215.59,0.15
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 01:00:00,25.53,203.49,0.23
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 02:00:00,25.51,199.72,0.27
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 03:00:00,25.5,195.84,0.3
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 04:00:00,25.49,192.89,0.3
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 05:00:00,25.48,194.63,0.21
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 06:00:00,25.46,198.04,0.13
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 07:00:00,25.44,222.52,0.04
완도,34.32,126.76,34.31823,126.7504,0.903,2026-09-19 08:00:00,25.43,263.76,0.03
