지역,기준위도,기준경도,ROMS위도,ROMS경도,거리_km,예측일시,예측수온_C,유향_deg,유속_m_s
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 00:00:00,26.13,262.28,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 01:00:00,26.1,217.53,0.09
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 02:00:00,26.07,200.58,0.16
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 03:00:00,26.04,195.11,0.18
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 04:00:00,26.0,193.01,0.18
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 05:00:00,25.97,193.41,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 06:00:00,25.92,208.33,0.04
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 07:00:00,25.89,345.04,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 08:00:00,25.86,355.61,0.18
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 09:00:00,25.87,350.05,0.22
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 10:00:00,25.9,341.79,0.2
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 11:00:00,25.93,334.55,0.19
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 12:00:00,25.96,317.27,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 13:00:00,25.99,286.62,0.11
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 14:00:00,26.0,242.94,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 15:00:00,26.0,225.97,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 16:00:00,26.01,217.17,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 17:00:00,26.0,213.67,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 18:00:00,25.98,237.01,0.07
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 19:00:00,25.95,292.26,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 20:00:00,25.92,329.71,0.1
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 21:00:00,25.88,343.38,0.16
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 22:00:00,25.85,331.33,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-17 23:00:00,25.82,310.4,0.09
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 00:00:00,25.79,267.84,0.07
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 01:00:00,25.76,236.29,0.09
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 02:00:00,25.73,214.09,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 03:00:00,25.7,205.1,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 04:00:00,25.67,207.63,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 05:00:00,25.64,202.84,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 06:00:00,25.61,207.05,0.09
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 07:00:00,25.58,257.6,0.03
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 08:00:00,25.55,324.66,0.07
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 09:00:00,25.54,342.88,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 10:00:00,25.54,331.77,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 11:00:00,25.56,329.0,0.15
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 12:00:00,25.6,304.19,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 13:00:00,25.64,292.07,0.11
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 14:00:00,25.67,262.28,0.11
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 15:00:00,25.68,240.24,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 16:00:00,25.7,232.71,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 17:00:00,25.71,228.78,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 18:00:00,25.7,225.72,0.1
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 19:00:00,25.69,262.76,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 20:00:00,25.67,301.06,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 21:00:00,25.65,322.71,0.07
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 22:00:00,25.63,324.17,0.08
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-18 23:00:00,25.61,288.47,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 00:00:00,25.58,271.19,0.05
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 01:00:00,25.56,230.88,0.08
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 02:00:00,25.54,219.22,0.09
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 03:00:00,25.51,213.93,0.11
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 04:00:00,25.48,210.27,0.11
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 05:00:00,25.46,207.12,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 06:00:00,25.43,211.22,0.09
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 07:00:00,25.4,221.68,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 08:00:00,25.39,253.67,0.04
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 09:00:00,25.38,320.45,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 10:00:00,25.41,321.03,0.08
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 11:00:00,25.47,314.61,0.1
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 12:00:00,25.52,311.06,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 13:00:00,25.57,294.0,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 14:00:00,25.64,285.76,0.14
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 15:00:00,25.71,273.81,0.16
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 16:00:00,25.73,266.46,0.15
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 17:00:00,25.7,265.33,0.1
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 18:00:00,25.68,249.28,0.08
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 19:00:00,25.67,248.62,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 20:00:00,25.65,262.25,0.05
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 21:00:00,25.63,245.79,0.05
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 22:00:00,25.6,268.05,0.04
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-19 23:00:00,25.58,265.9,0.03
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 00:00:00,25.55,247.41,0.04
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 01:00:00,25.53,261.53,0.03
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 02:00:00,25.5,233.54,0.04
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 03:00:00,25.48,220.6,0.05
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 04:00:00,25.45,215.06,0.05
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 05:00:00,25.43,205.68,0.07
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 06:00:00,25.4,204.02,0.07
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 07:00:00,25.37,206.22,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 08:00:00,25.36,212.62,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 09:00:00,25.36,233.55,0.05
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 10:00:00,25.39,289.91,0.03
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 11:00:00,25.47,281.24,0.07
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 12:00:00,25.6,293.92,0.1
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 13:00:00,25.73,312.31,0.1
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 14:00:00,25.92,324.9,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 15:00:00,26.08,328.71,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 16:00:00,26.19,329.37,0.13
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 17:00:00,26.24,329.99,0.12
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 18:00:00,26.2,333.29,0.1
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 19:00:00,26.1,324.05,0.06
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 20:00:00,26.0,327.5,0.04
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 21:00:00,25.89,277.7,0.02
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 22:00:00,25.84,248.87,0.04
여수,34.74,127.73,34.66433,127.67745,9.689,2026-09-20 23:00:00,25.77,258.25,0.07
