region,model,scope,n_scored,MAE,RMSE
완도,persistence,common_dates,701,0.3003,0.3881
완도,persistence,2024-09,30,0.23,0.3071
완도,climatology,common_dates,701,1.1895,1.4541
완도,climatology,2024-09,30,1.9315,1.9903
완도,linear_regression,common_dates,701,0.2287,0.2965
완도,linear_regression,2024-09,30,0.2296,0.2894
완도,random_forest,common_dates,701,0.2831,0.3655
완도,random_forest,2024-09,30,0.3383,0.4093
여수,persistence,common_dates,697,0.273,0.363
여수,persistence,2024-09,30,0.23,0.3271
여수,climatology,common_dates,697,1.2464,1.5406
여수,climatology,2024-09,30,3.1292,3.2242
여수,linear_regression,common_dates,697,0.2123,0.2827
여수,linear_regression,2024-09,30,0.2076,0.2471
여수,random_forest,common_dates,697,0.2497,0.3275
여수,random_forest,2024-09,30,0.2248,0.2906
통영,persistence,common_dates,708,0.2066,0.3338
통영,persistence,2024-09,23,0.2348,0.3323
통영,climatology,common_dates,708,1.3847,1.7092
통영,climatology,2024-09,23,3.1926,3.279
통영,linear_regression,common_dates,708,0.1719,0.2771
통영,linear_regression,2024-09,23,0.2196,0.2721
통영,random_forest,common_dates,708,0.2292,0.354
통영,random_forest,2024-09,23,0.4566,0.5554
남해군,persistence,common_dates,727,0.2477,0.396
남해군,persistence,2024-09,30,0.2033,0.343
남해군,climatology,common_dates,727,1.2559,1.5746
남해군,climatology,2024-09,30,2.73,2.7956
남해군,linear_regression,common_dates,727,0.2316,0.3781
남해군,linear_regression,2024-09,30,0.2562,0.3465
남해군,random_forest,common_dates,727,0.2893,0.4423
남해군,random_forest,2024-09,30,0.581,0.6904
