code,name,최근접|직선,IDW|직선,크리깅|직선,최근접|바닷길,IDW|바닷길,크리깅|바닷길
bbdi5,부산 다대포,1.4844733601600244,1.2307541284865697,1.1090161553810955,1.4844733601600244,1.183930032204,1.0989700206902053
bcji5,추자도,3.092323909257132,3.3963374238103032,3.721100477676362,3.092323909257132,3.4574489077513317,3.614231723194597
bgui5,고흥 부아도,0.6847824996472999,0.6925197973020237,0.5994136272092353,0.6847824996472999,0.6900916352165981,0.6090937422971103
bjji5,진도 조도,0.8191950934257944,1.027517895270584,0.7817666818828417,0.8191950934257944,1.0400795474275781,0.8043639838927632
bjli5,진도 불무도,0.5666710390358717,1.0823623969222098,0.9550242915810988,0.5666710390358717,1.021357847227393,0.9450369675306548
bnsi5,남해 상주,2.26422838819449,1.6288130010404702,1.6212060934095862,2.26422838819449,1.2557001441030964,1.253043777638586
btdi5,통영 두미도,2.1321574970640658,1.660968169713164,1.840583516273112,2.1321574970640658,1.6518106650368345,1.6706486636485558
btei5,거제 해금강,1.0867080685398025,1.2768836045504763,1.1802005264986777,0.9989970380172372,1.1310410638677915,1.1137127488800354
bthi5,통영 한산도,1.1404490948442347,1.1473628411299035,1.1915450131820589,1.1400263406918563,1.248226110718896,1.2989734502987589
btji5,진해 잠도,1.4878354897112935,2.3851555062933834,2.1720156134885125,1.4815136778908853,2.3131924442323895,2.159584207662583
btyi5,통영 연화도,1.5631610295716767,1.6171474899822995,1.6305648264534367,1.5631610295716767,1.591545216080638,1.6226555028420406
byki5,여수 금오도,1.2290593590539045,0.9505446821155709,0.8512451396217546,1.2290593590539045,1.0321631431385834,0.8822909860354863
eng5c,남해 강진,2.2915959551932197,1.337018296829739,1.3576583925946355,2.2915959551932197,1.6387705265639687,1.525098022429879
fbdka,보성 동율,0.7067092851368448,1.4598305290185827,0.801808426536109,0.7108161429238196,1.5649566444082632,0.8118971301893306
fbhl7,보성 해평,0.4695197155081813,1.1689231699863785,0.9380501967554744,0.4695197155081813,1.5306814469072645,1.2179114109264078
fgdl4,고흥 동촌,0.6809413307256441,0.3889183106273505,0.3817665079742255,0.6809413307256441,0.377983367562011,0.3847901744014786
fgg4c,거제 가배,0.8165862567751789,0.8882280026521429,1.0040396986681592,0.8165862567751789,0.746980097861421,0.8578497645786971
fggm6,고흥 금산,0.9711859686961865,0.3704506914565188,0.3525055293038156,0.9711859686961865,0.3396225498337588,0.32512808482724176
fghk5,고흥 화도,0.3880062506902597,0.2713136017206782,0.37130568090313054,0.3880062506902597,0.26368463198757686,0.31272282538698903
fgim6,고흥 익금,0.8908838553458286,0.7511657781138852,0.5199420187526937,0.8908838553458286,0.7214308753972678,0.4713267985819022
fgjm6,고흥 지죽,0.682501747321934,0.5602052210376528,0.5965649273240365,0.683718328033655,0.5544836586239091,0.5693020963800092
fgmk6,강진 마량,0.2374991914129135,0.23624527138811355,0.24937437582105632,0.2374991914129135,0.24094106700609402,0.1891051940040641
fgnm6,고흥 남열,0.9391104583799895,0.9537075994264826,0.9758747443193003,0.9391104583799895,1.098395727899458,1.0150727071636938
fgpo4,고흥 발포,0.8789788732666576,0.3162864570032963,0.3383178678826876,0.7772698508578803,0.31765709174176104,0.34238866783151845
fgsj3,고흥 소록도,0.5542468407122952,0.6077937641191347,0.8382686770046562,0.5542468407122952,0.6858615673105817,0.9808501702125964
fgsl4,고흥 신촌,0.9711859686961865,1.2799001653524202,1.130445679113181,0.9711859686961865,1.2465948910958022,1.1138999438984825
fgsl6,강진 사초,0.7984184296442047,0.7963732392863921,0.40226631455385575,0.7984184296442047,0.8221359978287771,0.5003941177035528
fgso4,고흥 시산,0.6325782321422542,0.5086779683312803,0.54019142060632,0.6325782321422542,0.5229324355516544,0.5100469732731363
fgyl4,고흥 연소,1.2719891693687504,1.2251841206970535,0.9655318397228859,1.2719891693687504,1.1536329899518574,0.8272480589573448
fgym6,고흥 영남,0.9685071016807291,0.8818469816019191,0.9996789573144799,0.9685071016807291,0.5890223166845228,0.8378050530539762
fgyo4,고흥 염포,0.6153738020107107,0.6188961482914764,0.7200538674040725,0.6153738020107107,0.5228957107306328,0.6246700945734752
fhbl6,해남 북일,1.5041970426674156,1.4920196871768223,1.230989841502348,1.5041970426674156,1.517260669914502,1.3362400529439777
fhhfc,해남 화산,0.31139842340992946,0.28159330350095046,0.23486129370665762,0.31139842340992946,0.2929046355072252,0.23244032747229842
fhhk5,해남 학가,0.9968640720489813,1.0961127974481055,1.1429431403959072,0.9968640720489813,1.0075132689793092,1.0842309617899863
fhhl6,해남 황산,0.462456413152563,0.42467467036869067,0.2807190694191902,0.462456413152563,0.3982364500867358,0.26802728640164
fhno4,해남 남성,0.6730886722087497,0.5683519244553986,0.5944571281618585,0.9362103150993161,0.588567413376132,0.5129027047042843
fhom6,해남 옥동,0.2549127193874297,0.1427430615477828,0.11063001891068627,0.2549127193874297,0.1592347765318021,0.11608856926192752
fhsk5,해남 송호,0.37216127077023736,0.33651109007647084,0.584694710325903,0.38439697126619576,0.31791390672501363,0.4062088288825402
fhsk7,해남 상마,0.38022361841421687,0.4128433498054722,0.40799185571907226,0.38022361841421687,0.414839810746385,0.4136994382154344
fhsm6,해남 송지,0.536243313707128,0.7080171507375765,0.64211119348268,0.536243313707128,0.4542942792882481,0.3966235206492049
fhso4,해남 삼정,0.2582845890906939,0.3179432132909546,0.34702411967883334,0.2582845890906939,0.3108276813407832,0.3262558314948027
