region_code,region,base_date,base_time,forecast_datetime,category,value,nx,ny
yeosu,여수,20260922,1100,2026-09-22 12:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-22 12:00:00,WSD,3.3,74,65
yeosu,여수,20260922,1100,2026-09-22 12:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 13:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-22 13:00:00,WSD,2.8,74,65
yeosu,여수,20260922,1100,2026-09-22 13:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 14:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-22 14:00:00,WSD,2.4,74,65
yeosu,여수,20260922,1100,2026-09-22 14:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 15:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-22 15:00:00,WSD,2.2,74,65
yeosu,여수,20260922,1100,2026-09-22 15:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 16:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-22 16:00:00,WSD,2.8,74,65
yeosu,여수,20260922,1100,2026-09-22 16:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 17:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-22 17:00:00,WSD,3.2,74,65
yeosu,여수,20260922,1100,2026-09-22 17:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 18:00:00,TMP,25,74,65
yeosu,여수,20260922,1100,2026-09-22 18:00:00,WSD,3.2,74,65
yeosu,여수,20260922,1100,2026-09-22 18:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 19:00:00,TMP,24,74,65
yeosu,여수,20260922,1100,2026-09-22 19:00:00,WSD,3.6,74,65
yeosu,여수,20260922,1100,2026-09-22 19:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 20:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-22 20:00:00,WSD,3.6,74,65
yeosu,여수,20260922,1100,2026-09-22 20:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 21:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-22 21:00:00,WSD,3.6,74,65
yeosu,여수,20260922,1100,2026-09-22 21:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 22:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-22 22:00:00,WSD,3.6,74,65
yeosu,여수,20260922,1100,2026-09-22 22:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-22 23:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-22 23:00:00,WSD,3.3,74,65
yeosu,여수,20260922,1100,2026-09-22 23:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 00:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-23 00:00:00,WSD,3.3,74,65
yeosu,여수,20260922,1100,2026-09-23 00:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 01:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-23 01:00:00,WSD,3.5,74,65
yeosu,여수,20260922,1100,2026-09-23 01:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 02:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-23 02:00:00,WSD,3.6,74,65
yeosu,여수,20260922,1100,2026-09-23 02:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 03:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-23 03:00:00,WSD,3.3,74,65
yeosu,여수,20260922,1100,2026-09-23 03:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 04:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-23 04:00:00,WSD,3.4,74,65
yeosu,여수,20260922,1100,2026-09-23 04:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 05:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-23 05:00:00,WSD,3.5,74,65
yeosu,여수,20260922,1100,2026-09-23 05:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 06:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-23 06:00:00,WSD,3.4,74,65
yeosu,여수,20260922,1100,2026-09-23 06:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 07:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-23 07:00:00,WSD,3.4,74,65
yeosu,여수,20260922,1100,2026-09-23 07:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 08:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-23 08:00:00,WSD,3.4,74,65
yeosu,여수,20260922,1100,2026-09-23 08:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 09:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-23 09:00:00,WSD,3.6,74,65
yeosu,여수,20260922,1100,2026-09-23 09:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 10:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-23 10:00:00,WSD,3.1,74,65
yeosu,여수,20260922,1100,2026-09-23 10:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 11:00:00,TMP,24,74,65
yeosu,여수,20260922,1100,2026-09-23 11:00:00,WSD,2.4,74,65
yeosu,여수,20260922,1100,2026-09-23 11:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 12:00:00,TMP,25,74,65
yeosu,여수,20260922,1100,2026-09-23 12:00:00,WSD,1.9,74,65
yeosu,여수,20260922,1100,2026-09-23 12:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 13:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-23 13:00:00,WSD,1.1,74,65
yeosu,여수,20260922,1100,2026-09-23 13:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 14:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-23 14:00:00,WSD,0.7,74,65
yeosu,여수,20260922,1100,2026-09-23 14:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 15:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-23 15:00:00,WSD,0.8,74,65
yeosu,여수,20260922,1100,2026-09-23 15:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 16:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-23 16:00:00,WSD,1.2,74,65
yeosu,여수,20260922,1100,2026-09-23 16:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 17:00:00,TMP,25,74,65
yeosu,여수,20260922,1100,2026-09-23 17:00:00,WSD,0.8,74,65
yeosu,여수,20260922,1100,2026-09-23 17:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 18:00:00,TMP,24,74,65
yeosu,여수,20260922,1100,2026-09-23 18:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-23 18:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 19:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-23 19:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-23 19:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 20:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-23 20:00:00,WSD,0.6,74,65
yeosu,여수,20260922,1100,2026-09-23 20:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 21:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-23 21:00:00,WSD,0.3,74,65
yeosu,여수,20260922,1100,2026-09-23 21:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 22:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-23 22:00:00,WSD,0.1,74,65
yeosu,여수,20260922,1100,2026-09-23 22:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-23 23:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-23 23:00:00,WSD,0.1,74,65
yeosu,여수,20260922,1100,2026-09-23 23:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 00:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-24 00:00:00,WSD,0.1,74,65
yeosu,여수,20260922,1100,2026-09-24 00:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 01:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-24 01:00:00,WSD,0.1,74,65
yeosu,여수,20260922,1100,2026-09-24 01:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 02:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-24 02:00:00,WSD,0.4,74,65
yeosu,여수,20260922,1100,2026-09-24 02:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 03:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-24 03:00:00,WSD,0.7,74,65
yeosu,여수,20260922,1100,2026-09-24 03:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 04:00:00,TMP,20,74,65
yeosu,여수,20260922,1100,2026-09-24 04:00:00,WSD,0.8,74,65
yeosu,여수,20260922,1100,2026-09-24 04:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 05:00:00,TMP,19,74,65
yeosu,여수,20260922,1100,2026-09-24 05:00:00,WSD,1.1,74,65
yeosu,여수,20260922,1100,2026-09-24 05:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 06:00:00,TMP,19,74,65
yeosu,여수,20260922,1100,2026-09-24 06:00:00,WSD,1.1,74,65
yeosu,여수,20260922,1100,2026-09-24 06:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 07:00:00,TMP,19,74,65
yeosu,여수,20260922,1100,2026-09-24 07:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-24 07:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 08:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-24 08:00:00,WSD,1.3,74,65
yeosu,여수,20260922,1100,2026-09-24 08:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 09:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-24 09:00:00,WSD,1.6,74,65
yeosu,여수,20260922,1100,2026-09-24 09:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 10:00:00,TMP,25,74,65
yeosu,여수,20260922,1100,2026-09-24 10:00:00,WSD,1.3,74,65
yeosu,여수,20260922,1100,2026-09-24 10:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 11:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-24 11:00:00,WSD,0.8,74,65
yeosu,여수,20260922,1100,2026-09-24 11:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 12:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-24 12:00:00,WSD,0.3,74,65
yeosu,여수,20260922,1100,2026-09-24 12:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 13:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-24 13:00:00,WSD,0.6,74,65
yeosu,여수,20260922,1100,2026-09-24 13:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 14:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-24 14:00:00,WSD,1.2,74,65
yeosu,여수,20260922,1100,2026-09-24 14:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 15:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-24 15:00:00,WSD,1.3,74,65
yeosu,여수,20260922,1100,2026-09-24 15:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 16:00:00,TMP,27,74,65
yeosu,여수,20260922,1100,2026-09-24 16:00:00,WSD,1.7,74,65
yeosu,여수,20260922,1100,2026-09-24 16:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 17:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-24 17:00:00,WSD,1.9,74,65
yeosu,여수,20260922,1100,2026-09-24 17:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 18:00:00,TMP,25,74,65
yeosu,여수,20260922,1100,2026-09-24 18:00:00,WSD,1.7,74,65
yeosu,여수,20260922,1100,2026-09-24 18:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 19:00:00,TMP,24,74,65
yeosu,여수,20260922,1100,2026-09-24 19:00:00,WSD,1.3,74,65
yeosu,여수,20260922,1100,2026-09-24 19:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 20:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-24 20:00:00,WSD,1.1,74,65
yeosu,여수,20260922,1100,2026-09-24 20:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 21:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-24 21:00:00,WSD,0.5,74,65
yeosu,여수,20260922,1100,2026-09-24 21:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 22:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-24 22:00:00,WSD,0.6,74,65
yeosu,여수,20260922,1100,2026-09-24 22:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-24 23:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-24 23:00:00,WSD,0.9,74,65
yeosu,여수,20260922,1100,2026-09-24 23:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-25 00:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-25 00:00:00,WSD,1.3,74,65
yeosu,여수,20260922,1100,2026-09-25 00:00:00,PCP,강수없음,74,65
yeosu,여수,20260922,1100,2026-09-25 03:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-25 03:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-25 03:00:00,PCP,0,74,65
yeosu,여수,20260922,1100,2026-09-25 06:00:00,TMP,21,74,65
yeosu,여수,20260922,1100,2026-09-25 06:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-25 06:00:00,PCP,0,74,65
yeosu,여수,20260922,1100,2026-09-25 09:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-25 09:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-25 09:00:00,PCP,0,74,65
yeosu,여수,20260922,1100,2026-09-25 12:00:00,TMP,25,74,65
yeosu,여수,20260922,1100,2026-09-25 12:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-25 12:00:00,PCP,0,74,65
yeosu,여수,20260922,1100,2026-09-25 15:00:00,TMP,26,74,65
yeosu,여수,20260922,1100,2026-09-25 15:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-25 15:00:00,PCP,0,74,65
yeosu,여수,20260922,1100,2026-09-25 18:00:00,TMP,24,74,65
yeosu,여수,20260922,1100,2026-09-25 18:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-25 18:00:00,PCP,0,74,65
yeosu,여수,20260922,1100,2026-09-25 21:00:00,TMP,23,74,65
yeosu,여수,20260922,1100,2026-09-25 21:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-25 21:00:00,PCP,0,74,65
yeosu,여수,20260922,1100,2026-09-26 00:00:00,TMP,22,74,65
yeosu,여수,20260922,1100,2026-09-26 00:00:00,WSD,1,74,65
yeosu,여수,20260922,1100,2026-09-26 00:00:00,PCP,0,74,65
