obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-01,11.0,11.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-02,10.9,10.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-03,10.6,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-04,10.6,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-05,10.5,10.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-06,10.6,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-07,10.5,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-08,10.5,10.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-09,10.6,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-10,10.5,10.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-11,10.5,10.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-12,10.5,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-13,10.5,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-14,10.0,10.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-15,10.3,10.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-16,10.3,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-17,10.3,10.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-18,10.2,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-19,10.4,10.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-20,10.3,10.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-21,10.0,10.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-22,9.7,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-23,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-24,8.9,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-25,8.7,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-26,9.2,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-27,9.1,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-28,8.9,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-29,8.8,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-30,8.6,8.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-01-31,8.7,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-01,8.9,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-02,8.8,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-03,8.7,8.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-04,8.5,8.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-05,8.3,8.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-06,8.3,8.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-07,8.2,8.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-08,8.1,8.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-09,8.0,8.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-10,8.0,8.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-11,7.9,7.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-12,7.9,7.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-13,8.1,8.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-14,8.3,8.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-15,8.4,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-16,9.6,9.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-17,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-18,9.3,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-19,9.3,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-20,9.3,9.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-21,9.1,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-22,9.2,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-23,9.3,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-24,9.7,10.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-25,9.9,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-26,9.4,9.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-27,8.8,8.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-02-28,9.0,8.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-01,9.0,9.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-02,8.7,8.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-03,8.6,8.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-04,9.2,9.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-05,9.1,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-06,9.2,9.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-07,9.5,9.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-08,9.7,9.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-09,9.9,10.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-10,9.7,9.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-11,10.0,10.1
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-12,10.1,10.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-13,10.1,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-14,10.3,10.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-15,10.6,10.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-16,10.6,10.7
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-17,10.8,10.8
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-18,10.9,10.9
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-19,11.2,11.2
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-20,11.3,11.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-21,11.4,11.4
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-22,11.5,11.6
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-23,11.7,12.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-24,11.8,12.0
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-25,12.1,12.3
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-26,12.6,12.5
남해,fnm5b,남해 미조,남해 미조(fnm5b),2023-03-27,12.3,12.5
