obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,km001,여수 신월,여수 신월(km001),2022-01-01,6.0
남해,km001,여수 신월,여수 신월(km001),2022-01-02,6.4
남해,km001,여수 신월,여수 신월(km001),2022-01-03,6.6
남해,km001,여수 신월,여수 신월(km001),2022-01-04,7.0
남해,km001,여수 신월,여수 신월(km001),2022-01-05,7.0
남해,km001,여수 신월,여수 신월(km001),2022-01-06,7.3
남해,km001,여수 신월,여수 신월(km001),2022-01-07,7.0
남해,km001,여수 신월,여수 신월(km001),2022-01-08,6.9
남해,km001,여수 신월,여수 신월(km001),2022-01-09,6.9
남해,km001,여수 신월,여수 신월(km001),2022-01-10,6.9
남해,km001,여수 신월,여수 신월(km001),2022-01-11,6.5
남해,km001,여수 신월,여수 신월(km001),2022-01-12,5.0
남해,km001,여수 신월,여수 신월(km001),2022-01-13,5.7
남해,km001,여수 신월,여수 신월(km001),2022-01-14,5.7
남해,km001,여수 신월,여수 신월(km001),2022-01-15,5.9
남해,km001,여수 신월,여수 신월(km001),2022-01-16,5.9
남해,km001,여수 신월,여수 신월(km001),2022-01-17,5.5
남해,km001,여수 신월,여수 신월(km001),2022-01-18,5.0
남해,km001,여수 신월,여수 신월(km001),2022-01-19,5.0
남해,km001,여수 신월,여수 신월(km001),2022-01-20,5.0
남해,km001,여수 신월,여수 신월(km001),2022-01-21,5.0
남해,km001,여수 신월,여수 신월(km001),2022-01-22,5.3
남해,km001,여수 신월,여수 신월(km001),2022-01-23,5.7
남해,km001,여수 신월,여수 신월(km001),2022-01-24,5.8
남해,km001,여수 신월,여수 신월(km001),2022-01-25,5.8
남해,km001,여수 신월,여수 신월(km001),2022-01-26,5.8
남해,km001,여수 신월,여수 신월(km001),2022-01-27,5.9
남해,km001,여수 신월,여수 신월(km001),2022-01-28,6.0
남해,km001,여수 신월,여수 신월(km001),2022-01-29,5.8
남해,km001,여수 신월,여수 신월(km001),2022-01-30,5.6
남해,km001,여수 신월,여수 신월(km001),2022-01-31,5.3
남해,km001,여수 신월,여수 신월(km001),2022-02-01,5.4
남해,km001,여수 신월,여수 신월(km001),2022-02-02,5.7
남해,km001,여수 신월,여수 신월(km001),2022-02-03,5.6
남해,km001,여수 신월,여수 신월(km001),2022-02-04,5.6
남해,km001,여수 신월,여수 신월(km001),2022-02-05,5.7
남해,km001,여수 신월,여수 신월(km001),2022-02-06,5.3
남해,km001,여수 신월,여수 신월(km001),2022-02-07,5.1
남해,km001,여수 신월,여수 신월(km001),2022-02-08,5.4
남해,km001,여수 신월,여수 신월(km001),2022-02-09,5.5
남해,km001,여수 신월,여수 신월(km001),2022-02-10,5.8
남해,km001,여수 신월,여수 신월(km001),2022-02-11,5.8
남해,km001,여수 신월,여수 신월(km001),2022-02-12,5.9
남해,km001,여수 신월,여수 신월(km001),2022-02-13,6.2
남해,km001,여수 신월,여수 신월(km001),2022-02-14,6.5
남해,km001,여수 신월,여수 신월(km001),2022-02-15,6.5
남해,km001,여수 신월,여수 신월(km001),2022-02-16,6.0
남해,km001,여수 신월,여수 신월(km001),2022-02-17,5.3
남해,km001,여수 신월,여수 신월(km001),2022-02-18,5.2
남해,km001,여수 신월,여수 신월(km001),2022-02-19,5.6
남해,km001,여수 신월,여수 신월(km001),2022-02-20,5.8
남해,km001,여수 신월,여수 신월(km001),2022-02-21,5.8
남해,km001,여수 신월,여수 신월(km001),2022-02-22,5.5
남해,km001,여수 신월,여수 신월(km001),2022-02-23,5.4
남해,km001,여수 신월,여수 신월(km001),2022-02-24,4.7
남해,km001,여수 신월,여수 신월(km001),2022-02-25,4.5
남해,km001,여수 신월,여수 신월(km001),2022-02-26,5.4
남해,km001,여수 신월,여수 신월(km001),2022-02-27,6.3
남해,km001,여수 신월,여수 신월(km001),2022-02-28,6.3
남해,km001,여수 신월,여수 신월(km001),2022-03-01,6.7
남해,km001,여수 신월,여수 신월(km001),2022-03-02,6.9
남해,km001,여수 신월,여수 신월(km001),2022-03-03,7.1
남해,km001,여수 신월,여수 신월(km001),2022-03-04,7.5
남해,km001,여수 신월,여수 신월(km001),2022-03-05,7.8
남해,km001,여수 신월,여수 신월(km001),2022-03-06,7.6
남해,km001,여수 신월,여수 신월(km001),2022-03-07,7.5
남해,km001,여수 신월,여수 신월(km001),2022-03-08,7.7
남해,km001,여수 신월,여수 신월(km001),2022-03-09,8.0
남해,km001,여수 신월,여수 신월(km001),2022-03-10,8.3
남해,km001,여수 신월,여수 신월(km001),2022-03-11,8.5
남해,km001,여수 신월,여수 신월(km001),2022-03-12,8.9
남해,km001,여수 신월,여수 신월(km001),2022-03-13,9.9
남해,km001,여수 신월,여수 신월(km001),2022-03-14,10.0
남해,km001,여수 신월,여수 신월(km001),2022-03-15,9.9
남해,km001,여수 신월,여수 신월(km001),2022-03-16,10.2
남해,km001,여수 신월,여수 신월(km001),2022-03-17,10.5
남해,km001,여수 신월,여수 신월(km001),2022-03-18,10.4
남해,km001,여수 신월,여수 신월(km001),2022-03-19,10.2
남해,km001,여수 신월,여수 신월(km001),2022-03-20,9.9
남해,km001,여수 신월,여수 신월(km001),2022-03-21,9.7
남해,km001,여수 신월,여수 신월(km001),2022-03-22,9.9
남해,km001,여수 신월,여수 신월(km001),2022-03-23,10.0
남해,km001,여수 신월,여수 신월(km001),2022-03-24,10.1
남해,km001,여수 신월,여수 신월(km001),2022-03-25,10.4
남해,km001,여수 신월,여수 신월(km001),2022-03-26,11.0
남해,km001,여수 신월,여수 신월(km001),2022-03-27,11.3
남해,km001,여수 신월,여수 신월(km001),2022-03-28,11.4
남해,km001,여수 신월,여수 신월(km001),2022-03-29,11.5
남해,km001,여수 신월,여수 신월(km001),2022-03-30,11.7
