obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemS
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-01,6.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-02,6.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-03,5.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-04,5.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-05,5.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-06,6.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-07,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-08,6.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-09,7.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-10,7.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-11,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-12,7.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-13,9.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-14,9.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-15,8.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-16,7.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-17,7.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-18,6.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-19,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-20,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-21,6.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-22,6.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-23,6.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-24,5.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-25,4.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-26,5.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-27,5.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-28,5.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-29,5.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-30,5.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-01-31,5.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-01,5.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-02,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-03,5.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-04,5.8
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-05,6.0
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-06,6.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-07,6.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-08,7.1
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-09,7.2
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-10,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-11,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-12,7.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-13,7.6
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-14,7.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-15,7.3
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-16,7.4
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-17,7.5
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-18,7.7
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-19,7.9
남해,fwgk5,완도 군외,완도 군외(fwgk5),2023-02-20,7.6
