obsrvnGroupNm,obsvtrCd,obsvtrKornNm,staNam,obsrvnDt,wtemM,wtemS,wtemB
남해,fth59,통영 학림,통영 학림(fth59),2023-01-01,11.8,11.9,11.8
남해,fth59,통영 학림,통영 학림(fth59),2023-01-02,11.7,11.7,11.7
남해,fth59,통영 학림,통영 학림(fth59),2023-01-03,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-01-04,11.6,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-01-05,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-01-06,11.4,11.5,11.4
남해,fth59,통영 학림,통영 학림(fth59),2023-01-07,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2023-01-08,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2023-01-09,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-01-10,11.5,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-01-11,11.7,11.7,11.7
남해,fth59,통영 학림,통영 학림(fth59),2023-01-12,11.7,11.7,11.7
남해,fth59,통영 학림,통영 학림(fth59),2023-01-13,11.9,11.9,11.8
남해,fth59,통영 학림,통영 학림(fth59),2023-01-14,11.9,12.0,11.9
남해,fth59,통영 학림,통영 학림(fth59),2023-01-15,11.9,12.0,11.9
남해,fth59,통영 학림,통영 학림(fth59),2023-01-16,11.9,11.9,11.9
남해,fth59,통영 학림,통영 학림(fth59),2023-01-17,11.7,11.8,11.7
남해,fth59,통영 학림,통영 학림(fth59),2023-01-18,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-01-19,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-01-20,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2023-01-21,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2023-01-22,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2023-01-23,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2023-01-24,11.0,11.0,11.0
남해,fth59,통영 학림,통영 학림(fth59),2023-01-25,10.8,10.8,10.7
남해,fth59,통영 학림,통영 학림(fth59),2023-01-26,10.7,10.7,10.7
남해,fth59,통영 학림,통영 학림(fth59),2023-01-27,10.6,10.6,10.6
남해,fth59,통영 학림,통영 학림(fth59),2023-01-28,10.4,10.4,10.4
남해,fth59,통영 학림,통영 학림(fth59),2023-01-29,10.3,10.4,10.3
남해,fth59,통영 학림,통영 학림(fth59),2023-01-30,10.1,10.1,10.1
남해,fth59,통영 학림,통영 학림(fth59),2023-01-31,10.0,10.1,10.0
남해,fth59,통영 학림,통영 학림(fth59),2023-02-01,10.1,10.1,10.1
남해,fth59,통영 학림,통영 학림(fth59),2023-02-02,10.1,10.1,10.1
남해,fth59,통영 학림,통영 학림(fth59),2023-02-03,10.0,10.1,10.0
남해,fth59,통영 학림,통영 학림(fth59),2023-02-04,10.1,10.1,10.1
남해,fth59,통영 학림,통영 학림(fth59),2023-02-05,10.2,10.2,10.2
남해,fth59,통영 학림,통영 학림(fth59),2023-02-06,10.3,10.4,10.3
남해,fth59,통영 학림,통영 학림(fth59),2023-02-07,10.5,10.5,10.4
남해,fth59,통영 학림,통영 학림(fth59),2023-02-08,10.6,10.6,10.6
남해,fth59,통영 학림,통영 학림(fth59),2023-02-09,10.8,10.8,10.8
남해,fth59,통영 학림,통영 학림(fth59),2023-02-10,11.1,11.1,11.0
남해,fth59,통영 학림,통영 학림(fth59),2023-02-11,11.1,11.1,11.1
남해,fth59,통영 학림,통영 학림(fth59),2023-02-12,11.2,11.2,11.2
남해,fth59,통영 학림,통영 학림(fth59),2023-02-13,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2023-02-14,11.3,11.4,11.3
남해,fth59,통영 학림,통영 학림(fth59),2023-02-15,11.3,11.3,11.3
남해,fth59,통영 학림,통영 학림(fth59),2023-02-16,11.4,11.4,11.4
남해,fth59,통영 학림,통영 학림(fth59),2023-02-17,11.5,11.5,11.4
남해,fth59,통영 학림,통영 학림(fth59),2023-02-18,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-02-19,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-02-20,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-02-21,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-02-22,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-02-23,11.5,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-02-24,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-02-25,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-02-26,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-02-27,11.5,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-02-28,11.6,11.6,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-03-01,11.5,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-02,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-03,11.5,11.5,11.4
남해,fth59,통영 학림,통영 학림(fth59),2023-03-04,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-05,11.5,11.5,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-06,11.6,11.6,11.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-07,11.6,11.7,11.6
남해,fth59,통영 학림,통영 학림(fth59),2023-03-08,11.7,11.8,11.7
남해,fth59,통영 학림,통영 학림(fth59),2023-03-09,11.8,11.9,11.8
남해,fth59,통영 학림,통영 학림(fth59),2023-03-10,12.0,12.0,12.0
남해,fth59,통영 학림,통영 학림(fth59),2023-03-11,12.1,12.1,12.1
남해,fth59,통영 학림,통영 학림(fth59),2023-03-12,12.2,12.2,12.2
남해,fth59,통영 학림,통영 학림(fth59),2023-03-13,12.2,12.2,12.1
남해,fth59,통영 학림,통영 학림(fth59),2023-03-14,12.2,12.2,12.2
남해,fth59,통영 학림,통영 학림(fth59),2023-03-15,12.3,12.4,12.2
남해,fth59,통영 학림,통영 학림(fth59),2023-03-16,12.4,12.5,12.4
남해,fth59,통영 학림,통영 학림(fth59),2023-03-17,12.5,12.5,12.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-18,12.6,12.6,12.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-19,12.6,12.7,12.6
남해,fth59,통영 학림,통영 학림(fth59),2023-03-20,12.7,12.8,12.7
남해,fth59,통영 학림,통영 학림(fth59),2023-03-21,12.8,12.9,12.8
남해,fth59,통영 학림,통영 학림(fth59),2023-03-22,13.0,13.0,13.0
남해,fth59,통영 학림,통영 학림(fth59),2023-03-23,13.2,13.2,13.2
남해,fth59,통영 학림,통영 학림(fth59),2023-03-24,13.3,13.4,13.3
남해,fth59,통영 학림,통영 학림(fth59),2023-03-25,13.4,13.4,13.4
남해,fth59,통영 학림,통영 학림(fth59),2023-03-26,13.5,13.5,13.5
남해,fth59,통영 학림,통영 학림(fth59),2023-03-27,13.6,13.6,13.6
남해,fth59,통영 학림,통영 학림(fth59),2023-03-28,13.6,13.7,13.6
남해,fth59,통영 학림,통영 학림(fth59),2023-03-29,13.8,13.9,13.8
